,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
242,109.1,2024-08-05,9:17:00,2024-08-05,11:21:00,PE,77000.0,Buy,10.0,121.6,471.6,,3500.0,14.32,23.1525,13.9075,20.3675,14.32,6.05,42.23
245,111.0,2024-08-08,9:16:00,2024-08-08,15:15:00,,,,,,,15.25,-315.0,16.17,17.23,14.38,16.6025,16.17,0.43,2.67
246,111.1,2024-08-08,9:36:00,2024-08-08,15:15:00,PE,77800.0,Buy,10.0,77.7,46.2,,-315.0,16.17,17.23,14.38,16.6025,16.17,0.43,2.67
247,112.0,2024-08-12,9:16:00,2024-08-12,15:15:00,,,,,,,15.33,-694.5,15.335,16.5575,13.395,15.8675,15.335,0.53,3.47
248,112.1,2024-08-12,11:00:00,2024-08-12,15:15:00,CE,81500.0,Buy,10.0,60.1,34.95,,-251.5,15.335,16.5575,13.395,15.8675,15.335,0.53,3.47
249,112.2,2024-08-12,9:20:00,2024-08-12,15:15:00,PE,77000.0,Buy,10.0,84.2,39.9,,-443.0,15.335,16.5575,13.395,15.8675,15.335,0.53,3.47
250,113.0,2024-08-13,9:16:00,2024-08-13,15:15:00,,,,,,,14.81,-73.0,15.8675,16.375,14.2225,16.1675,15.8675,0.3,1.89
251,113.1,2024-08-13,14:08:00,2024-08-13,15:15:00,PE,77500.0,Buy,10.0,68.2,60.9,,-73.0,15.8675,16.375,14.2225,16.1675,15.8675,0.3,1.89
257,116.0,2024-08-26,9:16:00,2024-08-26,15:15:00,,,,,,,13.86,-305.5,13.5525,13.9925,12.01,13.795,13.5525,0.24,1.79
258,116.1,2024-08-26,10:19:00,2024-08-26,15:15:00,CE,83000.0,Buy,10.0,75.3,44.75,,-305.5,13.5525,13.9925,12.01,13.795,13.5525,0.24,1.79
259,117.0,2024-08-28,9:16:00,2024-08-28,15:15:00,,,,,,,13.69,-310.0,13.6325,14.085,12.035,13.95,13.6325,0.32,2.33
260,117.1,2024-08-28,11:34:00,2024-08-28,15:15:00,CE,82700.0,Buy,10.0,70.3,39.3,,-310.0,13.6325,14.085,12.035,13.95,13.6325,0.32,2.33
265,120.0,2024-09-04,9:16:00,2024-09-04,15:15:00,,,,,,,14.12,-101.0,13.8425,14.555,12.805,14.3775,13.8425,0.54,3.86
266,120.1,2024-09-04,13:21:00,2024-09-04,15:15:00,CE,83100.0,Buy,10.0,73.9,63.8,,-101.0,13.8425,14.555,12.805,14.3775,13.8425,0.54,3.86
269,122.0,2024-09-06,9:16:00,2024-09-06,10:08:00,,,,,,,12.96,2956.0,14.2075,15.6725,12.3525,15.2175,14.2075,1.01,7.11
270,122.1,2024-09-06,9:29:00,2024-09-06,10:08:00,CE,82400.0,Buy,10.0,88.1,33.7,,-544.0,14.2075,15.6725,12.3525,15.2175,14.2075,1.01,7.11
271,122.2,2024-09-06,9:26:00,2024-09-06,10:08:00,PE,81700.0,Buy,10.0,81.15,431.15,,3500.0,14.2075,15.6725,12.3525,15.2175,14.2075,1.01,7.11
275,124.0,2024-09-11,9:16:00,2024-09-11,15:15:00,,,,,,,12.38,-222.0,13.36,13.765,11.325,13.6275,13.36,0.27,2.0
276,124.1,2024-09-11,9:42:00,2024-09-11,15:15:00,CE,82700.0,Buy,10.0,66.05,35.75,,-303.0,13.36,13.765,11.325,13.6275,13.36,0.27,2.0
277,124.2,2024-09-11,14:16:00,2024-09-11,15:15:00,PE,80600.0,Buy,10.0,71.0,79.1,,81.0,13.36,13.765,11.325,13.6275,13.36,0.27,2.0
281,126.0,2024-09-18,9:16:00,2024-09-18,15:15:00,,,,,,,12.73,335.0,12.59,13.8475,12.26,13.3725,12.59,0.78,6.22
282,126.1,2024-09-18,9:43:00,2024-09-18,15:15:00,CE,84300.0,Buy,10.0,64.9,87.35,,224.5,12.59,13.8475,12.26,13.3725,12.59,0.78,6.22
283,126.2,2024-09-18,13:05:00,2024-09-18,15:15:00,PE,81500.0,Buy,10.0,73.9,84.95,,110.5,12.59,13.8475,12.26,13.3725,12.59,0.78,6.22
286,128.0,2024-09-20,9:16:00,2024-09-20,12:42:00,,,,,,,12.38,788.0,12.47,13.11,10.9025,12.79,12.47,0.32,2.57
287,128.1,2024-09-20,9:52:00,2024-09-20,12:42:00,CE,84100.0,Buy,10.0,84.4,238.2,,1538.0,12.47,13.11,10.9025,12.79,12.47,0.32,2.57
288,128.2,2024-09-20,9:20:00,2024-09-20,12:42:00,PE,82900.0,Buy,10.0,79.0,4.0,,-750.0,12.47,13.11,10.9025,12.79,12.47,0.32,2.57
289,129.0,2024-09-23,9:16:00,2024-09-23,15:15:00,,,,,,,13.27,-319.0,12.79,14.03,12.4275,13.785,12.79,1.0,7.78
290,129.1,2024-09-23,9:17:00,2024-09-23,15:15:00,CE,86500.0,Buy,10.0,87.9,56.0,,-319.0,12.79,14.03,12.4275,13.785,12.79,1.0,7.78
295,132.0,2024-09-30,9:16:00,2024-09-30,15:15:00,,,,,,,12.66,300.0,11.9625,13.2375,11.6,12.7875,11.9625,0.82,6.9
296,132.1,2024-09-30,9:49:00,2024-09-30,15:15:00,PE,83000.0,Buy,10.0,60.0,90.0,,300.0,11.9625,13.2375,11.6,12.7875,11.9625,0.82,6.9
299,134.0,2024-10-03,9:16:00,2024-10-03,15:15:00,,,,,,,13.02,-955.5,11.9875,13.9275,11.685,13.17,11.9875,1.18,9.86
300,134.1,2024-10-03,9:30:00,2024-10-03,15:15:00,CE,84700.0,Buy,10.0,82.35,8.2,,-741.5,11.9875,13.9275,11.685,13.17,11.9875,1.18,9.86
301,134.2,2024-10-03,9:17:00,2024-10-03,15:15:00,PE,81600.0,Buy,10.0,82.3,60.9,,-214.0,11.9875,13.9275,11.685,13.17,11.9875,1.18,9.86
