open,high,low,close,adj close,volume,year,month,hour,day,day_name,candle_body,high_shadow,low_shadow,trend
42280.234375,42517.6015625,42277.7265625,42477.25390625,42477.25390625,0,2024,1,0,1,Monday,-197.01953125,237.3671875,-199.52734375,DOWN
42471.40234375,42718.7109375,42433.78515625,42622.8984375,42622.8984375,200035328,2024,1,1,1,Monday,-151.49609375,247.30859375,-189.11328125,DOWN
42611.3359375,42611.3359375,42506.359375,42576.6015625,42576.6015625,0,2024,1,2,1,Monday,34.734375,0.0,-70.2421875,UP
42575.96875,42581.0078125,42270.7578125,42320.73046875,42320.73046875,118417408,2024,1,3,1,Monday,255.23828125,5.0390625,-49.97265625,UP
42325.04296875,42387.1640625,42227.984375,42387.1640625,42387.1640625,34720768,2024,1,4,1,Monday,-62.12109375,62.12109375,-159.1796875,DOWN
42381.8515625,42396.53515625,42217.109375,42225.484375,42225.484375,39962624,2024,1,5,1,Monday,156.3671875,14.68359375,-8.375,UP
42234.2890625,42420.7109375,42214.9765625,42408.80078125,42408.80078125,78267392,2024,1,6,1,Monday,-174.51171875,186.421875,-193.82421875,DOWN
42402.05859375,42506.7265625,42402.05859375,42466.46875,42466.46875,0,2024,1,7,1,Monday,-64.41015625,104.66796875,-64.41015625,DOWN
42475.9140625,42549.5625,42464.80859375,42546.4140625,42546.4140625,0,2024,1,8,1,Monday,-70.5,73.6484375,-81.60546875,DOWN
42553.76953125,42686.1875,42547.6875,42631.41796875,42631.41796875,0,2024,1,9,1,Monday,-77.6484375,132.41796875,-83.73046875,DOWN
42648.546875,42743.38671875,42645.5703125,42696.95703125,42696.95703125,0,2024,1,10,1,Monday,-48.41015625,94.83984375,-51.38671875,DOWN
42698.19921875,42759.21875,42606.07421875,42687.30859375,42687.30859375,252281856,2024,1,11,1,Monday,10.890625,61.01953125,-81.234375,UP
42687.9140625,42761.0546875,42631.16015625,42664.109375,42664.109375,0,2024,1,12,1,Monday,23.8046875,73.140625,-32.94921875,UP
42670.28515625,42740.578125,42643.95703125,42740.578125,42740.578125,0,2024,1,13,1,Monday,-70.29296875,70.29296875,-96.62109375,DOWN
42733.0390625,42733.0390625,42594.3046875,42622.375,42622.375,12092416,2024,1,14,1,Monday,110.6640625,0.0,-28.0703125,UP
42630.3203125,42831.00390625,42606.21484375,42780.91796875,42780.91796875,26588160,2024,1,15,1,Monday,-150.59765625,200.68359375,-174.703125,DOWN
42787.1796875,42854.27734375,42686.40625,42727.890625,42727.890625,47306752,2024,1,16,1,Monday,59.2890625,67.09765625,-41.484375,UP
42723.43359375,42836.46875,42718.09375,42819.28515625,42819.28515625,0,2024,1,17,1,Monday,-95.8515625,113.03515625,-101.19140625,DOWN
42822.37109375,43192.125,42822.37109375,43120.453125,43120.453125,691495936,2024,1,18,1,Monday,-298.08203125,369.75390625,-298.08203125,DOWN
43150.078125,43544.48046875,43120.02734375,43529.83984375,43529.83984375,624076800,2024,1,19,1,Monday,-379.76171875,394.40234375,-409.8125,DOWN
43532.08203125,43826.2265625,43532.08203125,43677.93359375,43677.93359375,926722048,2024,1,20,1,Monday,-145.8515625,294.14453125,-145.8515625,DOWN
43696.92578125,43770.40625,43494.4765625,43598.37109375,43598.37109375,300529664,2024,1,21,1,Monday,98.5546875,73.48046875,-103.89453125,UP
43631.3046875,43631.3046875,43419.23828125,43534.27734375,43534.27734375,0,2024,1,22,1,Monday,97.02734375,0.0,-115.0390625,UP
43538.81640625,44175.4375,43538.81640625,44150.7109375,44150.7109375,950880256,2024,1,23,1,Monday,-611.89453125,636.62109375,-611.89453125,DOWN
44187.140625,45069.9609375,44176.94921875,45069.9609375,45069.9609375,2670448640,2024,1,0,2,Tuesday,-882.8203125,882.8203125,-893.01171875,DOWN
45121.18359375,45381.2578125,44754.21875,44883.6640625,44883.6640625,2205095936,2024,1,1,2,Tuesday,237.51953125,260.07421875,-129.4453125,UP
44882.65625,45398.49609375,44882.65625,45398.49609375,45398.49609375,1181814784,2024,1,2,2,Tuesday,-515.83984375,515.83984375,-515.83984375,DOWN
45412.6640625,45474.234375,45224.28125,45421.73046875,45421.73046875,1125044224,2024,1,3,2,Tuesday,-9.06640625,61.5703125,-197.44921875,DOWN
45426.203125,45460.75,45215.11328125,45216.74609375,45216.74609375,678227968,2024,1,4,2,Tuesday,209.45703125,34.546875,-1.6328125,UP
45221.3359375,45355.33984375,45177.64453125,45206.21875,45206.21875,560410624,2024,1,5,2,Tuesday,15.1171875,134.00390625,-28.57421875,UP
45207.3515625,45325.8046875,45170.265625,45270.16796875,45270.16796875,402032640,2024,1,6,2,Tuesday,-62.81640625,118.453125,-99.90234375,DOWN
45232.63671875,45556.8828125,45225.96484375,45499.88671875,45499.88671875,1324216320,2024,1,7,2,Tuesday,-267.25,324.24609375,-273.921875,DOWN
45502.23046875,45868.81640625,45384.94921875,45802.05078125,45802.05078125,1672241152,2024,1,8,2,Tuesday,-299.8203125,366.5859375,-417.1015625,DOWN
45806.7421875,45899.70703125,45672.62109375,45712.078125,45712.078125,787615744,2024,1,9,2,Tuesday,94.6640625,92.96484375,-39.45703125,UP
