open,high,low,close,adj close,volume,year,month,hour,day,day_name,candle_body,high_shadow,low_shadow,trend
16547.9140625,16553.69921875,16529.07421875,16539.396484375,16539.396484375,0,2023,1,0,1,Sunday,8.517578125,5.78515625,10.322265625,UP
16538.013671875,16556.140625,16536.416015625,16556.140625,16556.140625,0,2023,1,1,1,Sunday,-18.126953125,18.126953125,19.724609375,DOWN
16556.494140625,16564.591796875,16549.50390625,16557.580078125,16557.580078125,0,2023,1,2,1,Sunday,-1.0859375,8.09765625,8.076171875,DOWN
16557.521484375,16557.912109375,16540.302734375,16548.86328125,16548.86328125,0,2023,1,3,1,Sunday,8.658203125,0.390625,8.560546875,UP
16546.4296875,16548.51171875,16528.251953125,16530.708984375,16530.708984375,16758784,2023,1,4,1,Sunday,15.720703125,2.08203125,2.45703125,UP
16530.771484375,16536.328125,16525.9140625,16536.328125,16536.328125,0,2023,1,5,1,Sunday,-5.556640625,5.556640625,10.4140625,DOWN
16536.59375,16554.11328125,16536.59375,16548.146484375,16548.146484375,0,2023,1,6,1,Sunday,-11.552734375,17.51953125,11.552734375,DOWN
16548.072265625,16552.021484375,16525.9453125,16536.4765625,16536.4765625,47280128,2023,1,7,1,Sunday,11.595703125,3.94921875,10.53125,UP
16536.546875,16538.916015625,16523.783203125,16524.33203125,16524.33203125,0,2023,1,8,1,Sunday,12.21484375,2.369140625,0.548828125,UP
16523.822265625,16541.65234375,16521.234375,16541.65234375,16541.65234375,0,2023,1,9,1,Sunday,-17.830078125,17.830078125,20.41796875,DOWN
16542.40625,16548.052734375,16541.396484375,16546.94921875,16546.94921875,0,2023,1,10,1,Sunday,-4.54296875,5.646484375,5.552734375,DOWN
16548.33203125,16557.404296875,16548.33203125,16556.072265625,16556.072265625,0,2023,1,11,1,Sunday,-7.740234375,9.072265625,7.740234375,DOWN
16556.236328125,16568.505859375,16556.236328125,16564.890625,16564.890625,0,2023,1,12,1,Sunday,-8.654296875,12.26953125,8.654296875,DOWN
16565.30859375,16567.5859375,16550.87109375,16552.162109375,16552.162109375,0,2023,1,13,1,Sunday,13.146484375,2.27734375,1.291015625,UP
