Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
63.1,2024-04-18,9:44:00,2024-04-18,15:15:00,PE,72200.0,Buy,10.0,67.45,207.55,,1401.0,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37
64.0,2024-04-19,9:16:00,2024-04-19,13:54:00,,,,,,,14.2,2768.0,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
64.1,2024-04-19,9:24:00,2024-04-19,13:54:00,CE,72600.0,Buy,10.0,73.5,423.5,,3500.0,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
64.2,2024-04-19,9:22:00,2024-04-19,13:54:00,PE,70900.0,Buy,10.0,76.5,3.3,,-732.0,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
65.0,2024-04-25,9:16:00,2024-04-25,15:15:00,,,,,,,10.52,1614.5,10.275,11.4575,10.26,10.73,10.275,0.46,4.43
65.1,2024-04-25,9:35:00,2024-04-25,15:15:00,CE,74400.0,Buy,10.0,71.55,233.0,,1614.5,10.275,11.4575,10.26,10.73,10.275,0.46,4.43
66.0,2024-04-26,9:16:00,2024-04-26,15:15:00,,,,,,,10.99,895.0,10.73,11.315,10.5875,10.925,10.73,0.2,1.82
66.1,2024-04-26,9:27:00,2024-04-26,15:15:00,PE,73900.0,Buy,10.0,81.15,170.65,,895.0,10.73,11.315,10.5875,10.925,10.73,0.2,1.82
67.0,2024-04-30,9:16:00,2024-04-30,15:15:00,,,,,,,12.53,-452.0,12.235,13.2125,12.235,12.87,12.235,0.63,5.19
67.1,2024-04-30,9:51:00,2024-04-30,15:15:00,CE,75900.0,Buy,10.0,80.25,35.05,,-452.0,12.235,13.2125,12.235,12.87,12.235,0.63,5.19
68.0,2024-05-02,9:16:00,2024-05-02,15:15:00,,,,,,,13.87,-548.0,12.87,13.9475,12.87,13.445,12.87,0.58,4.47
68.1,2024-05-02,9:47:00,2024-05-02,15:15:00,CE,75500.0,Buy,10.0,72.7,17.9,,-548.0,12.87,13.9475,12.87,13.445,12.87,0.58,4.47
69.0,2024-05-03,9:16:00,2024-05-03,10:41:00,,,,,,,13.8,2862.5,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72
69.1,2024-05-03,9:23:00,2024-05-03,10:41:00,CE,75400.0,Buy,10.0,82.0,18.25,,-637.5,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72
69.2,2024-05-03,9:37:00,2024-05-03,10:41:00,PE,74400.0,Buy,10.0,71.25,421.25,,3500.0,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72
70.0,2024-05-07,9:16:00,2024-05-07,15:15:00,,,,,,,16.91,63.5,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45
70.1,2024-05-07,10:01:00,2024-05-07,15:15:00,PE,72300.0,Buy,10.0,76.0,82.35,,63.5,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45
71.0,2024-05-08,9:16:00,2024-05-08,15:15:00,,,,,,,17.37,-443.5,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43
71.1,2024-05-08,12:20:00,2024-05-08,15:15:00,CE,74800.0,Buy,10.0,81.6,37.25,,-443.5,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43
72.0,2024-05-09,9:16:00,2024-05-09,15:15:00,,,,,,,17.41,2213.5,17.08,19.1725,17.08,18.2,17.08,1.12,6.56
72.1,2024-05-09,9:26:00,2024-05-09,15:15:00,PE,72500.0,Buy,10.0,70.5,291.85,,2213.5,17.08,19.1725,17.08,18.2,17.08,1.12,6.56
73.0,2024-05-10,9:16:00,2024-05-10,15:15:00,,,,,,,18.2,-683.5,18.2,19.0075,17.995,18.4725,18.2,0.27,1.5
