,high,low,open,close,year,month,day,hour,minute
2015-01-09,8303.0,8277.4,8285.45,8285.55,2015,1,9,9,15
2015-01-12,8291.35,8245.6,8291.35,8271.1,2015,1,12,9,15
2015-01-13,8355.9,8322.0,8346.15,8340.45,2015,1,13,9,15
2015-01-14,8323.3,8286.85,8307.25,8318.5,2015,1,14,9,15
2015-01-15,8452.65,8380.75,8425.2,8412.85,2015,1,15,9,15
2015-01-19,8561.8,8548.2,8553.4,8555.75,2015,1,19,9,26
2015-01-20,8594.6,8574.65,8575.1,8592.6,2015,1,20,9,15
2015-01-21,8732.25,8699.9,8719.65,8730.1,2015,1,21,9,15
2015-01-22,8754.8,8735.0,8745.85,8754.65,2015,1,22,9,15
2015-01-23,8866.15,8827.95,8827.95,8857.7,2015,1,23,9,15
2015-01-27,8874.7,8826.1,8871.35,8854.5,2015,1,27,9,15
2015-01-28,8917.95,8889.95,8902.75,8889.95,2015,1,28,9,15
2015-01-29,8901.5,8861.65,8901.5,8872.95,2015,1,29,9,15
2015-01-30,8996.6,8933.7,8996.6,8941.0,2015,1,30,9,15
2015-02-02,8807.8,8772.45,8802.5,8787.1,2015,2,2,9,15
2015-02-03,8836.45,8813.05,8823.15,8817.1,2015,2,3,9,15
2015-02-04,8791.45,8759.55,8789.15,8759.55,2015,2,4,9,15
2015-02-05,8746.0,8705.75,8733.1,8742.7,2015,2,5,9,15
2015-02-06,8724.5,8690.35,8696.85,8713.35,2015,2,6,9,15
2015-02-09,8603.9,8574.7,8584.4,8587.25,2015,2,9,9,15
2015-02-10,8584.25,8472.05,8478.1,8581.1,2015,2,10,9,15
2015-02-11,8619.95,8600.2,8603.3,8610.25,2015,2,11,9,15
2015-02-12,8681.4,8629.75,8676.95,8642.7,2015,2,12,9,15
2015-02-13,8765.35,8730.0,8741.5,8760.9,2015,2,13,9,15
2015-02-16,8869.95,8825.4,8831.4,8853.85,2015,2,16,9,15
2015-02-18,8840.8,8810.05,8811.55,8831.8,2015,2,18,9,15
2015-02-19,8902.55,8879.25,8883.05,8890.3,2015,2,19,9,15
2015-02-20,8895.5,8816.5,8895.5,8823.95,2015,2,20,9,15
2015-02-23,8867.7,8839.2,8856.85,8864.1,2015,2,23,9,15
2015-02-24,8775.25,8746.5,8772.9,8771.8,2015,2,24,9,15
2015-02-25,8840.5,8798.6,8802.65,8828.35,2015,2,25,9,15
2015-02-26,8783.6,8734.15,8779.0,8736.6,2015,2,26,9,15
2015-02-27,8757.25,8723.2,8729.5,8739.8,2015,2,27,9,15
2015-02-28,8919.55,8896.0,8913.05,8910.65,2015,2,28,9,15
2015-03-02,8968.65,8923.4,8954.6,8963.95,2015,3,2,9,15
2015-03-03,8962.85,8925.7,8962.85,8960.4,2015,3,3,9,15
2015-03-04,9117.3,9059.9,9109.15,9078.55,2015,3,4,9,15
2015-03-05,8948.6,8917.85,8929.4,8923.65,2015,3,5,9,15
2015-03-09,8877.3,8803.7,8877.3,8816.3,2015,3,9,9,15
2015-03-10,8769.75,8734.8,8769.75,8749.9,2015,3,10,9,15
2015-03-11,8740.6,8714.6,8728.75,8725.25,2015,3,11,9,15
2015-03-12,8773.2,8733.5,8740.65,8767.0,2015,3,12,9,15
2015-03-13,8844.05,8788.15,8844.05,8791.15,2015,3,13,9,15
2015-03-16,8649.15,8620.0,8641.1,8630.45,2015,3,16,9,35
2015-03-17,8691.2,8665.45,8689.1,8666.8,2015,3,17,9,15
2015-03-18,8746.4,8695.7,8742.9,8697.7,2015,3,18,9,15
2015-03-19,8785.7,8732.15,8749.45,8775.7,2015,3,19,9,15
2015-03-20,8627.9,8589.85,8627.9,8610.5,2015,3,20,9,15
2015-03-23,8607.9,8565.55,8591.55,8565.55,2015,3,23,9,15
2015-03-24,8569.7,8537.05,8537.05,8565.5,2015,3,24,9,15
2015-03-25,8573.45,8547.0,8568.9,8548.75,2015,3,25,9,15
2015-03-26,8498.9,8469.55,8474.95,8472.7,2015,3,26,9,15
2015-03-27,8411.4,8346.0,8396.0,8352.25,2015,3,27,9,15
2015-03-30,8409.55,8381.2,8391.7,8408.65,2015,3,30,9,15
2015-03-31,8530.0,8500.05,8527.6,8527.3,2015,3,31,9,15
2015-04-01,8490.8,8466.7,8483.7,8472.55,2015,4,1,9,15
2015-04-06,8615.8,8575.95,8615.8,8587.9,2015,4,6,9,15
2015-04-07,8692.5,8657.5,8684.45,8657.65,2015,4,7,9,15
2015-04-08,8716.25,8693.45,8698.95,8710.1,2015,4,8,9,15
2015-04-09,8758.9,8724.0,8756.2,8727.15,2015,4,9,9,15
2015-04-10,8778.0,8758.95,8774.35,8774.2,2015,4,10,9,15
2015-04-13,8801.75,8768.2,8801.75,8778.55,2015,4,13,9,15
2015-04-15,8844.75,8814.15,8844.75,8825.0,2015,4,15,9,15
2015-04-16,8759.1,8732.0,8757.05,8732.75,2015,4,16,9,15
2015-04-17,8698.75,8654.95,8698.05,8660.6,2015,4,17,9,15
2015-04-20,8619.95,8568.1,8615.4,8573.2,2015,4,20,9,15
2015-04-21,8469.15,8406.2,8416.1,8431.65,2015,4,21,9,15
2015-04-22,8422.95,8381.9,8400.4,8388.25,2015,4,22,9,15
2015-04-23,8487.9,8451.35,8478.2,8486.9,2015,4,23,9,15
2015-04-24,8412.15,8342.9,8405.7,8362.55,2015,4,24,9,15
2015-04-27,8331.4,8277.35,8330.55,8292.95,2015,4,27,9,15
2015-04-28,8229.95,8185.75,8215.55,8222.9,2015,4,28,9,15
2015-04-29,8291.05,8252.5,8274.8,8275.3,2015,4,29,9,15
2015-04-30,8228.9,8147.75,8224.5,8157.0,2015,4,30,9,15
2015-05-04,8292.2,8221.25,8230.05,8287.15,2015,5,4,9,15
2015-05-05,8341.65,8300.15,8338.4,8314.85,2015,5,5,9,15
2015-05-06,8330.3,8211.25,8316.6,8217.8,2015,5,6,9,15
2015-05-07,8088.4,8034.7,8077.0,8083.05,2015,5,7,9,15
2015-05-08,8175.3,8123.65,8131.5,8162.8,2015,5,8,9,15
2015-05-11,8263.95,8224.85,8243.2,8255.85,2015,5,11,9,15
2015-05-12,8326.15,8204.7,8326.15,8212.0,2015,5,12,9,15
2015-05-13,8240.85,8157.8,8181.55,8226.65,2015,5,13,9,15
2015-05-14,8232.45,8137.55,8232.45,8186.65,2015,5,14,9,15
2015-05-15,8278.9,8213.1,8240.3,8239.0,2015,5,15,9,15
2015-05-18,8314.35,8271.95,8284.95,8302.7,2015,5,18,9,15
2015-05-19,8367.65,8335.25,8356.2,8350.95,2015,5,19,9,15
2015-05-20,8433.35,8392.65,8392.65,8425.45,2015,5,20,9,15
2015-05-21,8442.2,8402.25,8434.5,8414.85,2015,5,21,9,15
2015-05-22,8439.85,8420.9,8432.5,8427.25,2015,5,22,9,15
2015-05-25,8441.95,8415.05,8438.15,8425.35,2015,5,25,9,15
2015-05-26,8378.45,8337.5,8377.65,8343.75,2015,5,26,9,15
2015-05-27,8302.75,8278.3,8302.75,8293.65,2015,5,27,9,15
2015-05-28,8364.2,8335.2,8345.7,8337.45,2015,5,28,9,15
2015-05-29,8360.55,8306.7,8327.1,8355.3,2015,5,29,9,15
2015-06-01,8448.75,8406.25,8417.25,8425.35,2015,6,1,9,15
2015-06-02,8442.8,8365.7,8442.8,8390.6,2015,6,2,9,15
2015-06-03,8234.4,8185.45,8232.45,8185.7,2015,6,3,9,15
2015-06-04,8158.6,8105.35,8155.15,8114.35,2015,6,4,9,15
2015-06-05,8135.0,8103.7,8119.15,8122.15,2015,6,5,9,15
2015-06-08,8129.15,8062.15,8124.35,8066.65,2015,6,8,9,15
2015-06-09,8057.05,8013.9,8026.5,8048.9,2015,6,9,9,15
2015-06-10,8108.75,8024.15,8024.15,8106.95,2015,6,10,9,15
2015-06-11,8161.65,8137.35,8157.3,8141.45,2015,6,11,9,15
2015-06-12,7973.55,7941.2,7959.85,7962.75,2015,6,12,9,15
2015-06-15,8034.35,7945.55,7986.6,8029.45,2015,6,15,9,15
2015-06-16,8009.4,7973.1,8004.2,7978.25,2015,6,16,9,15
2015-06-17,8092.25,8052.95,8084.2,8056.6,2015,6,17,9,15
2015-06-18,8153.15,8103.6,8113.7,8153.15,2015,6,18,9,15
2015-06-19,8217.4,8200.1,8201.15,8207.1,2015,6,19,9,15
2015-06-22,8292.8,8259.3,8259.3,8289.95,2015,6,22,9,15
2015-06-23,8384.25,8335.75,8377.45,8379.55,2015,6,23,9,15
2015-06-24,8399.7,8376.25,8399.4,8390.4,2015,6,24,9,15
2015-06-25,8368.15,8330.3,8336.25,8361.9,2015,6,25,9,15
2015-06-26,8408.35,8353.0,8393.95,8373.55,2015,6,26,9,15
2015-06-29,8247.05,8207.1,8247.05,8226.45,2015,6,29,9,15
2015-06-30,8356.3,8299.1,8316.35,8319.6,2015,6,30,9,15
2015-07-01,8405.35,8370.15,8376.25,8399.8,2015,7,1,9,15
2015-07-02,8477.1,8437.4,8471.95,8454.25,2015,7,2,9,15
2015-07-03,8485.85,8424.5,8440.1,8482.1,2015,7,3,9,15
2015-07-06,8443.45,8386.15,8386.15,8411.75,2015,7,6,9,15
2015-07-07,8561.1,8524.2,8525.5,8532.05,2015,7,7,9,15
2015-07-08,8448.5,8418.0,8439.2,8441.8,2015,7,8,9,15
2015-07-09,8400.0,8353.25,8364.85,8371.25,2015,7,9,9,15
2015-07-10,8375.9,8351.9,8365.7,8364.85,2015,7,10,9,15
2015-07-13,8403.65,8369.0,8397.25,8373.75,2015,7,13,9,15
2015-07-14,8470.6,8433.45,8470.6,8444.05,2015,7,14,9,15
2015-07-15,8505.75,8463.4,8463.4,8499.25,2015,7,15,9,15
2015-07-16,8564.25,8543.85,8545.8,8562.55,2015,7,16,9,15
2015-07-17,8642.65,8604.45,8623.65,8609.1,2015,7,17,9,15
2015-07-20,8623.9,8571.35,8623.9,8589.45,2015,7,20,9,15
2015-07-21,8630.55,8588.7,8601.5,8615.85,2015,7,21,9,15
2015-07-22,8524.35,8499.55,8512.25,8513.0,2015,7,22,9,15
2015-07-23,8654.6,8621.1,8643.95,8630.3,2015,7,23,9,15
2015-07-24,8588.15,8561.6,8588.15,8577.9,2015,7,24,9,15
2015-07-27,8492.1,8442.85,8492.1,8445.1,2015,7,27,9,15
2015-07-28,8391.6,8357.4,8371.1,8367.15,2015,7,28,9,15
2015-07-29,8374.2,8338.55,8365.6,8354.8,2015,7,29,9,15
2015-07-30,8425.4,8409.7,8413.2,8422.75,2015,7,30,9,15
2015-07-31,8488.75,8449.25,8456.1,8475.1,2015,7,31,9,15
2015-08-03,8553.05,8510.65,8510.65,8549.2,2015,8,3,9,15
2015-08-04,8564.35,8502.45,8564.1,8517.1,2015,8,4,9,15
2015-08-05,8581.2,8547.4,8547.4,8572.05,2015,8,5,9,15
2015-08-06,8589.4,8552.45,8585.8,8553.75,2015,8,6,9,15
2015-08-07,8595.6,8569.5,8580.8,8589.25,2015,8,7,9,15
2015-08-10,8608.15,8564.85,8577.0,8597.1,2015,8,10,9,15
2015-08-11,8555.75,8494.7,8549.85,8523.85,2015,8,11,9,15
2015-08-12,8446.7,8395.75,8446.7,8396.95,2015,8,12,9,15
2015-08-13,8429.15,8371.95,8385.3,8407.05,2015,8,13,9,15
2015-08-14,8408.15,8381.4,8402.35,8399.65,2015,8,14,9,15
2015-08-17,8530.5,8428.55,8530.5,8452.15,2015,8,17,9,15
2015-08-18,8522.15,8501.85,8503.75,8518.5,2015,8,18,9,15
2015-08-19,8468.05,8426.55,8468.05,8450.25,2015,8,19,9,15
2015-08-20,8501.0,8460.3,8477.15,8488.75,2015,8,20,9,15
2015-08-21,8298.7,8225.25,8298.7,8255.85,2015,8,21,9,15
2015-08-24,8058.95,7992.7,8055.95,8048.6,2015,8,24,9,15
2015-08-25,7924.25,7797.95,7896.55,7842.45,2015,8,25,9,15
2015-08-26,7869.6,7786.2,7865.25,7844.6,2015,8,26,9,15
2015-08-27,7922.05,7862.6,7919.15,7868.7,2015,8,27,9,15
2015-08-28,8061.5,8024.4,8053.7,8052.8,2015,8,28,9,15
2015-08-31,8006.7,7954.85,8006.7,7973.5,2015,8,31,9,15
2015-09-01,7921.1,7887.05,7907.95,7918.95,2015,9,1,9,15
2015-09-02,7857.8,7779.5,7857.8,7800.65,2015,9,2,9,15
2015-09-03,7785.15,7754.35,7774.45,7769.25,2015,9,3,9,15
2015-09-04,7803.4,7656.15,7803.4,7666.65,2015,9,4,9,15
2015-09-07,7704.5,7647.0,7690.65,7654.95,2015,9,7,9,15
2015-09-08,7597.6,7540.15,7587.7,7579.35,2015,9,8,9,15
2015-09-09,7821.15,7793.95,7806.1,7811.75,2015,9,9,9,15
2015-09-10,7721.35,7678.6,7721.35,7709.7,2015,9,10,9,15
2015-09-11,7864.75,7827.8,7832.5,7829.6,2015,9,11,9,15
2015-09-14,7811.1,7762.05,7811.1,7779.15,2015,9,14,9,15
2015-09-15,7879.8,7841.35,7867.85,7847.1,2015,9,15,9,15
2015-09-16,7886.2,7864.0,7886.2,7879.2,2015,9,16,9,15
2015-09-18,8000.8,7961.25,7963.2,8000.15,2015,9,18,9,15
2015-09-21,7933.45,7909.0,7910.95,7931.35,2015,9,21,9,15
2015-09-22,8021.4,7992.5,8014.8,8001.45,2015,9,22,9,15
2015-09-23,7770.1,7723.35,7737.35,7766.4,2015,9,23,9,15
2015-09-24,7848.35,7819.45,7835.5,7829.6,2015,9,24,9,15
2015-09-28,7892.8,7831.55,7892.8,7846.05,2015,9,28,9,15
2015-09-29,7728.1,7701.4,7725.7,7723.05,2015,9,29,9,15
2015-09-30,7924.25,7882.65,7924.25,7898.5,2015,9,30,9,15
2015-10-01,8008.0,7982.2,7986.9,7997.5,2015,10,1,9,15
2015-10-05,8061.45,8008.45,8009.55,8058.2,2015,10,5,9,15
