date,open,high,low,close,adj close,volume,year,month,day,day_name,minute,hour,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend
2021-09-01,47099.7734375,49111.08984375,46562.4375,48847.02734375,48847.02734375,39139399125,2021,9,1,Wednesday,0,0,49111.08984375,46562.4375,2548.65234375,-1747.25390625,264.0625,-537.3359375,-537.3359375,2011.31640625,DOWN
2021-09-02,48807.84765625,50343.421875,48652.3203125,49327.72265625,49327.72265625,39508070319,2021,9,2,Thursday,0,0,50343.421875,48652.3203125,1691.1015625,-519.875,1015.69921875,-155.52734375,-155.52734375,1535.57421875,DOWN
2021-09-03,49288.25,50982.2734375,48386.0859375,50025.375,50025.375,43206179619,2021,9,3,Friday,0,0,50982.2734375,48386.0859375,2596.1875,-737.125,956.8984375,-902.1640625,-902.1640625,1694.0234375,DOWN
2021-09-04,50009.32421875,50545.58203125,49548.78125,49944.625,49944.625,37471327794,2021,9,4,Saturday,0,0,50545.58203125,49548.78125,996.80078125,64.69921875,536.2578125,-395.84375,-460.54296875,536.2578125,UP
2021-09-05,49937.859375,51868.6796875,49538.59765625,51753.41015625,51753.41015625,30322676319,2021,9,5,Sunday,0,0,51868.6796875,49538.59765625,2330.08203125,-1815.55078125,115.26953125,-399.26171875,-399.26171875,1930.8203125,DOWN
2021-09-06,51769.00390625,52700.94140625,51053.6796875,52633.53515625,52633.53515625,38884105426,2021,9,6,Monday,0,0,52700.94140625,51053.6796875,1647.26171875,-864.53125,67.40625,-715.32421875,-715.32421875,931.9375,DOWN
2021-09-07,52660.48046875,52853.765625,43285.20703125,46811.12890625,46811.12890625,65210059683,2021,9,7,Tuesday,0,0,52853.765625,43285.20703125,9568.55859375,5849.3515625,193.28515625,-3525.921875,-9375.2734375,193.28515625,UP
2021-09-08,46827.76171875,47334.0546875,44561.39453125,46091.390625,46091.390625,49007762488,2021,9,8,Wednesday,0,0,47334.0546875,44561.39453125,2772.66015625,736.37109375,506.29296875,-1529.99609375,-2266.3671875,506.29296875,UP
2021-09-09,45774.7421875,47261.94921875,45669.73828125,46391.421875,46391.421875,38672657013,2021,9,9,Thursday,0,0,47261.94921875,45669.73828125,1592.2109375,-616.6796875,870.52734375,-105.00390625,-105.00390625,1487.20703125,DOWN
2021-09-10,46396.6640625,47031.7421875,44344.484375,44883.91015625,44883.91015625,39154666597,2021,9,10,Friday,0,0,47031.7421875,44344.484375,2687.2578125,1512.75390625,635.078125,-539.42578125,-2052.1796875,635.078125,UP
2021-09-11,44869.83984375,45969.29296875,44818.265625,45201.45703125,45201.45703125,34499835245,2021,9,11,Saturday,0,0,45969.29296875,44818.265625,1151.02734375,-331.6171875,767.8359375,-51.57421875,-51.57421875,1099.453125,DOWN
2021-09-12,45206.62890625,46364.87890625,44790.4609375,46063.26953125,46063.26953125,27881980161,2021,9,12,Sunday,0,0,46364.87890625,44790.4609375,1574.41796875,-856.640625,301.609375,-416.16796875,-416.16796875,1158.25,DOWN
2021-09-13,46057.21484375,46598.6796875,43591.3203125,44963.07421875,44963.07421875,40969943253,2021,9,13,Monday,0,0,46598.6796875,43591.3203125,3007.359375,1094.140625,541.46484375,-1371.75390625,-2465.89453125,541.46484375,UP
2021-09-14,44960.05078125,47218.125,44752.33203125,47092.4921875,47092.4921875,38652152880,2021,9,14,Tuesday,0,0,47218.125,44752.33203125,2465.79296875,-2132.44140625,125.6328125,-207.71875,-207.71875,2258.07421875,DOWN
2021-09-15,47098.0,48450.46875,46773.328125,48176.34765625,48176.34765625,30484496466,2021,9,15,Wednesday,0,0,48450.46875,46773.328125,1677.140625,-1078.34765625,274.12109375,-324.671875,-324.671875,1352.46875,DOWN
2021-09-16,48158.90625,48486.828125,47079.55859375,47783.359375,47783.359375,31764293754,2021,9,16,Thursday,0,0,48486.828125,47079.55859375,1407.26953125,375.546875,327.921875,-703.80078125,-1079.34765625,327.921875,UP
2021-09-17,47771.00390625,48160.921875,46832.5234375,47267.51953125,47267.51953125,28727713711,2021,9,17,Friday,0,0,48160.921875,46832.5234375,1328.3984375,503.484375,389.91796875,-434.99609375,-938.48046875,389.91796875,UP
2021-09-18,47273.52734375,48791.78125,47087.28515625,48278.36328125,48278.36328125,28575630451,2021,9,18,Saturday,0,0,48791.78125,47087.28515625,1704.49609375,-1004.8359375,513.41796875,-186.2421875,-186.2421875,1518.25390625,DOWN
2021-09-19,48268.85546875,48328.3671875,46919.8046875,47260.21875,47260.21875,26967722648,2021,9,19,Sunday,0,0,48328.3671875,46919.8046875,1408.5625,1008.63671875,59.51171875,-340.4140625,-1349.05078125,59.51171875,UP
2021-09-20,47261.40625,47328.19921875,42598.9140625,42843.80078125,42843.80078125,43909845642,2021,9,20,Monday,0,0,47328.19921875,42598.9140625,4729.28515625,4417.60546875,66.79296875,-244.88671875,-4662.4921875,66.79296875,UP
2021-09-21,43012.234375,43607.609375,39787.609375,40693.67578125,40693.67578125,48701090088,2021,9,21,Tuesday,0,0,43607.609375,39787.609375,3820.0,2318.55859375,595.375,-906.06640625,-3224.625,595.375,UP
2021-09-22,40677.953125,43978.62109375,40625.6328125,43574.5078125,43574.5078125,38139709246,2021,9,22,Wednesday,0,0,43978.62109375,40625.6328125,3352.98828125,-2896.5546875,404.11328125,-52.3203125,-52.3203125,3300.66796875,DOWN
2021-09-23,43560.296875,44942.17578125,43109.33984375,44895.09765625,44895.09765625,34244064430,2021,9,23,Thursday,0,0,44942.17578125,43109.33984375,1832.8359375,-1334.80078125,47.078125,-450.95703125,-450.95703125,1381.87890625,DOWN
2021-09-24,44894.30078125,45080.4921875,40936.55859375,42839.75,42839.75,42839345714,2021,9,24,Friday,0,0,45080.4921875,40936.55859375,4143.93359375,2054.55078125,186.19140625,-1903.19140625,-3957.7421875,186.19140625,UP
2021-09-25,42840.890625,42996.2578125,41759.921875,42716.59375,42716.59375,31604717236,2021,9,25,Saturday,0,0,42996.2578125,41759.921875,1236.3359375,124.296875,155.3671875,-956.671875,-1080.96875,155.3671875,UP
2021-09-26,42721.62890625,43919.30078125,40848.4609375,43208.5390625,43208.5390625,30661222077,2021,9,26,Sunday,0,0,43919.30078125,40848.4609375,3070.83984375,-486.91015625,710.76171875,-1873.16796875,-1873.16796875,1197.671875,DOWN
2021-09-27,43234.18359375,44313.24609375,42190.6328125,42235.73046875,42235.73046875,30980029059,2021,9,27,Monday,0,0,44313.24609375,42190.6328125,2122.61328125,998.453125,1079.0625,-45.09765625,-1043.55078125,1079.0625,UP
2021-09-28,42200.8984375,42775.14453125,40931.6640625,41034.54296875,41034.54296875,30214940550,2021,9,28,Tuesday,0,0,42775.14453125,40931.6640625,1843.48046875,1166.35546875,574.24609375,-102.87890625,-1269.234375,574.24609375,UP
2021-09-29,41064.984375,42545.2578125,40829.66796875,41564.36328125,41564.36328125,30602359905,2021,9,29,Wednesday,0,0,42545.2578125,40829.66796875,1715.58984375,-499.37890625,980.89453125,-235.31640625,-235.31640625,1480.2734375,DOWN
2021-09-30,41551.26953125,44092.6015625,41444.58203125,43790.89453125,43790.89453125,31141681925,2021,9,30,Thursday,0,0,44092.6015625,41444.58203125,2648.01953125,-2239.625,301.70703125,-106.6875,-106.6875,2541.33203125,DOWN
2021-10-01,43816.7421875,48436.01171875,43320.0234375,48116.94140625,48116.94140625,42850641582,2021,10,1,Friday,0,0,48436.01171875,43320.0234375,5115.98828125,-4300.19921875,319.0703125,-496.71875,-496.71875,4619.26953125,DOWN
2021-10-02,48137.46875,48282.0625,47465.49609375,47711.48828125,47711.48828125,30614346492,2021,10,2,Saturday,0,0,48282.0625,47465.49609375,816.56640625,425.98046875,144.59375,-245.9921875,-671.97265625,144.59375,UP
2021-10-03,47680.02734375,49130.69140625,47157.2890625,48199.953125,48199.953125,26638115879,2021,10,3,Sunday,0,0,49130.69140625,47157.2890625,1973.40234375,-519.92578125,930.73828125,-522.73828125,-522.73828125,1450.6640625,DOWN
2021-10-04,48208.90625,49456.77734375,47045.00390625,49112.90234375,49112.90234375,33383173002,2021,10,4,Monday,0,0,49456.77734375,47045.00390625,2411.7734375,-903.99609375,343.875,-1163.90234375,-1163.90234375,1247.87109375,DOWN
2021-10-05,49174.9609375,51839.984375,49072.83984375,51514.8125,51514.8125,35873904236,2021,10,5,Tuesday,0,0,51839.984375,49072.83984375,2767.14453125,-2339.8515625,325.171875,-102.12109375,-102.12109375,2665.0234375,DOWN
2021-10-06,51486.6640625,55568.46484375,50488.19140625,55361.44921875,55361.44921875,49034730168,2021,10,6,Wednesday,0,0,55568.46484375,50488.19140625,5080.2734375,-3874.78515625,207.015625,-998.47265625,-998.47265625,4081.80078125,DOWN
2021-10-07,55338.625,55338.625,53525.46875,53805.984375,53805.984375,36807860413,2021,10,7,Thursday,0,0,55338.625,53525.46875,1813.15625,1532.640625,0.0,-280.515625,-1813.15625,0.0,UP
2021-10-08,53802.14453125,55922.98046875,53688.0546875,53967.84765625,53967.84765625,34800873924,2021,10,8,Friday,0,0,55922.98046875,53688.0546875,2234.92578125,-165.703125,1955.1328125,-114.08984375,-114.08984375,2120.8359375,DOWN
2021-10-09,53929.78125,55397.9453125,53735.14453125,54968.22265625,54968.22265625,32491211414,2021,10,9,Saturday,0,0,55397.9453125,53735.14453125,1662.80078125,-1038.44140625,429.72265625,-194.63671875,-194.63671875,1468.1640625,DOWN
2021-10-10,54952.8203125,56401.3046875,54264.2578125,54771.578125,54771.578125,39527792364,2021,10,10,Sunday,0,0,56401.3046875,54264.2578125,2137.046875,181.2421875,1448.484375,-507.3203125,-688.5625,1448.484375,UP
2021-10-11,54734.125,57793.0390625,54519.765625,57484.7890625,57484.7890625,42637331698,2021,10,11,Monday,0,0,57793.0390625,54519.765625,3273.2734375,-2750.6640625,308.25,-214.359375,-214.359375,3058.9140625,DOWN
2021-10-12,57526.83203125,57627.87890625,54477.97265625,56041.05859375,56041.05859375,41083758949,2021,10,12,Tuesday,0,0,57627.87890625,54477.97265625,3149.90625,1485.7734375,101.046875,-1563.0859375,-3048.859375,101.046875,UP
2021-10-13,56038.2578125,57688.66015625,54370.97265625,57401.09765625,57401.09765625,41684252783,2021,10,13,Wednesday,0,0,57688.66015625,54370.97265625,3317.6875,-1362.83984375,287.5625,-1667.28515625,-1667.28515625,1650.40234375,DOWN
2021-10-14,57372.83203125,58478.734375,56957.07421875,57321.5234375,57321.5234375,36615791366,2021,10,14,Thursday,0,0,58478.734375,56957.07421875,1521.66015625,51.30859375,1105.90234375,-364.44921875,-415.7578125,1105.90234375,UP
2021-10-15,57345.90234375,62757.12890625,56868.14453125,61593.94921875,61593.94921875,51780081801,2021,10,15,Friday,0,0,62757.12890625,56868.14453125,5888.984375,-4248.046875,1163.1796875,-477.7578125,-477.7578125,5411.2265625,DOWN
2021-10-16,61609.52734375,62274.4765625,60206.12109375,60892.1796875,60892.1796875,34250964237,2021,10,16,Saturday,0,0,62274.4765625,60206.12109375,2068.35546875,717.34765625,664.94921875,-686.05859375,-1403.40625,664.94921875,UP
