datetime,open,high,low,close,adj close,volume,year,month,day,day_name,minute,hour,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,15_EMA,50_EMA,200_EMA
2024-01-01 00:00:00+00:00,42280.234375,42517.6015625,42277.7265625,42477.25390625,42477.25390625,0,2024,1,1,Monday,0,0,42517.6015625,42277.7265625,239.875,-197.01953125,40.34765625,-2.5078125,-2.5078125,237.3671875,UP,42477.25390625,42477.25390625,42477.25390625
2024-01-01 01:00:00+00:00,42471.40234375,42718.7109375,42433.78515625,42622.8984375,42622.8984375,200035328,2024,1,1,Monday,0,1,42718.7109375,42433.78515625,284.92578125,-151.49609375,95.8125,-37.6171875,-37.6171875,247.30859375,UP,42495.45947265625,42482.9654564951,42478.703105565924
2024-01-01 02:00:00+00:00,42611.3359375,42611.3359375,42506.359375,42576.6015625,42576.6015625,0,2024,1,1,Monday,0,2,42611.3359375,42506.359375,104.9765625,34.734375,0.0,-70.2421875,-104.9765625,0.0,DOWN,42505.60223388672,42486.63746065216,42479.677219565274
2024-01-01 03:00:00+00:00,42575.96875,42581.0078125,42270.7578125,42320.73046875,42320.73046875,118417408,2024,1,1,Monday,0,3,42581.0078125,42270.7578125,310.25,255.23828125,5.0390625,-49.97265625,-305.2109375,5.0390625,DOWN,42482.49326324463,42480.13130410697,42478.09565985567
2024-01-01 04:00:00+00:00,42325.04296875,42387.1640625,42227.984375,42387.1640625,42387.1640625,34720768,2024,1,1,Monday,0,4,42387.1640625,42227.984375,159.1796875,-62.12109375,0.0,-97.05859375,-97.05859375,62.12109375,UP,42470.57711315155,42476.48552992631,42477.19086784218
2024-01-01 05:00:00+00:00,42381.8515625,42396.53515625,42217.109375,42225.484375,42225.484375,39962624,2024,1,1,Monday,0,5,42396.53515625,42217.109375,179.42578125,156.3671875,14.68359375,-8.375,-164.7421875,14.68359375,DOWN,42439.94052088261,42466.64234738018,42474.68632562485
2024-01-01 06:00:00+00:00,42234.2890625,42420.7109375,42214.9765625,42408.80078125,42408.80078125,78267392,2024,1,1,Monday,0,6,42420.7109375,42214.9765625,205.734375,-174.51171875,11.91015625,-19.3125,-19.3125,186.421875,UP,42436.04805342853,42464.37405066919,42474.03074806888
2024-01-01 07:00:00+00:00,42402.05859375,42506.7265625,42402.05859375,42466.46875,42466.46875,0,2024,1,1,Monday,0,7,42506.7265625,42402.05859375,104.66796875,-64.41015625,40.2578125,0.0,0.0,104.66796875,UP,42439.850640499964,42464.45619574098,42473.955504307
2024-01-01 08:00:00+00:00,42475.9140625,42549.5625,42464.80859375,42546.4140625,42546.4140625,0,2024,1,1,Monday,0,8,42549.5625,42464.80859375,84.75390625,-70.5,3.1484375,-11.10546875,-11.10546875,73.6484375,UP,42453.17106824997,42467.670229731535,42474.67648498554
2024-01-01 09:00:00+00:00,42553.76953125,42686.1875,42547.6875,42631.41796875,42631.41796875,0,2024,1,1,Monday,0,9,42686.1875,42547.6875,138.5,-77.6484375,54.76953125,-6.08203125,-6.08203125,132.41796875,UP,42475.45193081247,42474.09170969304,42476.236101739414
