,high,low,open,close,year,month,day,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,7_EMA,15_EMA,50_EMA,200_EMA
2024-01-01,42718.7109375,42270.7578125,42280.234375,42320.73046875,2024,1,1,0,Monday,42718.7109375,42270.7578125,447.953125,-40.49609375,397.98046875,-9.4765625,-9.4765625,438.4765625,UP,42320.73046875,42320.73046875,42320.73046875,42320.73046875
2024-01-01,42506.7265625,42214.9765625,42325.04296875,42466.46875,2024,1,1,4,Monday,42506.7265625,42214.9765625,291.75,-141.42578125,40.2578125,-110.06640625,-110.06640625,181.68359375,UP,42357.1650390625,42338.94775390625,42326.445695465685,42322.180600901745
2024-01-01,42759.21875,42464.80859375,42475.9140625,42687.30859375,2024,1,1,8,Monday,42759.21875,42464.80859375,294.41015625,-211.39453125,71.91015625,-11.10546875,-11.10546875,283.3046875,UP,42439.700927734375,42382.49285888672,42340.597181672914,42325.813715258446
2024-01-01,42831.00390625,42594.3046875,42687.9140625,42780.91796875,2024,1,1,12,Monday,42831.00390625,42594.3046875,236.69921875,-93.00390625,50.0859375,-93.609375,-93.609375,143.08984375,UP,42525.00518798828,42432.29599761963,42357.86466351908,42330.3421157907
2024-01-01,43544.48046875,42686.40625,42787.1796875,43529.83984375,2024,1,1,16,Monday,43544.48046875,42686.40625,858.07421875,-742.66015625,14.640625,-100.7734375,-100.7734375,757.30078125,UP,42776.21385192871,42569.488978385925,42403.824474508525,42342.277416566416
2024-01-01,44175.4375,43419.23828125,43532.08203125,44150.7109375,2024,1,1,20,Monday,44175.4375,43419.23828125,756.19921875,-618.62890625,24.7265625,-112.84375,-112.84375,643.35546875,UP,43119.83812332153,42767.141723275185,42472.329825998386,42360.27177995879
2024-01-02,45474.234375,44176.94921875,44187.140625,45421.73046875,2024,1,2,0,Tuesday,45474.234375,44176.94921875,1297.28515625,-1234.58984375,52.50390625,-10.19140625,-10.19140625,1287.09375,UP,43695.31120967865,43098.96531645954,42587.99259630238,42390.734055469155
2024-01-02,45556.8828125,45170.265625,45426.203125,45499.88671875,2024,1,2,4,Tuesday,45556.8828125,45170.265625,386.6171875,-73.68359375,56.99609375,-255.9375,-255.9375,130.6796875,UP,44146.45508694649,43399.080491745844,42702.18452267288,42421.67089788987
2024-01-02,45899.70703125,45270.51953125,45502.23046875,45443.24609375,2024,1,2,8,Tuesday,45899.70703125,45270.51953125,629.1875,58.984375,397.4765625,-172.7265625,-231.7109375,397.4765625,DOWN,44470.652838647366,43654.601191996364,42809.677133303354,42451.7363227243
2024-01-02,45809.12109375,44890.9375,45461.49609375,45201.42578125,2024,1,2,12,Tuesday,45809.12109375,44890.9375,918.18359375,260.0703125,347.625,-310.48828125,-570.55859375,347.625,DOWN,44653.346074298024,43847.95426565307,42903.47119792872,42479.09641683898
2024-01-02,45391.9375,44858.6015625,45221.66015625,45065.26171875,2024,1,2,16,Tuesday,45391.9375,44858.6015625,533.3359375,156.3984375,170.27734375,-206.66015625,-363.05859375,170.27734375,DOWN,44756.32498541102,44000.11769729019,42988.24729678445,42504.8294049177
2024-01-02,45268.91015625,44703.5,45056.00390625,44951.13671875,2024,1,2,20,Tuesday,45268.91015625,44703.5,565.41015625,104.8671875,212.90625,-247.63671875,-352.50390625,212.90625,DOWN,44805.02791874576,44118.99507497266,43065.22335254781,42529.17077122449
2024-01-03,45406.11328125,44892.390625,45002.2890625,45264.6171875,2024,1,3,0,Wednesday,45406.11328125,44892.390625,513.72265625,-262.328125,141.49609375,-109.8984375,-109.8984375,403.82421875,UP,44919.92523593432,44262.19783903858,43151.47409117338,42556.38914352574
2024-01-03,45394.4921875,45000.59375,45280.33984375,45061.01171875,2024,1,3,4,Wednesday,45394.4921875,45000.59375,393.8984375,219.328125,114.15234375,-60.41796875,-279.74609375,114.15234375,DOWN,44955.19685663824,44362.04957400251,43226.3579197058,42581.31076118966
2024-01-03,45503.2421875,43648.328125,45049.34765625,43697.19921875,2024,1,3,8,Wednesday,45503.2421875,43648.328125,1854.9140625,1352.1484375,453.89453125,-48.87109375,-1401.01953125,453.89453125,DOWN,44640.69744716618,44278.943279595944,43244.8222843742,42592.41412892659
2024-01-03,43645.5546875,40813.53515625,43645.5546875,42995.14453125,2024,1,3,12,Wednesday,43645.5546875,40813.53515625,2832.01953125,650.41015625,0.0,-2181.609375,-2832.01953125,0.0,DOWN,44229.30921818713,44118.4684360527,43235.03099993795,42596.421396611404
