datetime,open,high,low,close,adj close,volume,year,month,hour,day,day_name,minute,max,min,difference,candle_body,high_shadow,low_shadow,trend
2024-08-01 09:15:00,25030.94921875,25077.30078125,25012.5,25054.05078125,25054.05078125,0,2024,8,9,1,Thursday,15,25077.30078125,25012.5,64.80078125,-23.1015625,46.3515625,41.55078125,DOWN
2024-08-01 09:30:00,25053.400390625,25064.349609375,25044.150390625,25046.400390625,25046.400390625,0,2024,8,9,1,Thursday,30,25064.349609375,25044.150390625,20.19921875,7.0,10.94921875,2.25,UP
2024-08-01 09:45:00,25045.55078125,25059.0,25026.19921875,25052.849609375,25052.849609375,0,2024,8,9,1,Thursday,45,25059.0,25026.19921875,32.80078125,-7.298828125,13.44921875,26.650390625,DOWN
2024-08-01 10:00:00,25053.55078125,25056.599609375,25034.05078125,25037.099609375,25037.099609375,0,2024,8,10,1,Thursday,0,25056.599609375,25034.05078125,22.548828125,16.451171875,3.048828125,3.048828125,UP
2024-08-01 10:15:00,25037.05078125,25052.150390625,25021.30078125,25021.30078125,25021.30078125,0,2024,8,10,1,Thursday,15,25052.150390625,25021.30078125,30.849609375,15.75,15.099609375,0.0,UP
2024-08-01 10:30:00,25021.650390625,25032.30078125,25011.900390625,25019.900390625,25019.900390625,0,2024,8,10,1,Thursday,30,25032.30078125,25011.900390625,20.400390625,1.75,10.650390625,8.0,UP
2024-08-01 10:45:00,25020.099609375,25023.849609375,25006.0,25014.400390625,25014.400390625,0,2024,8,10,1,Thursday,45,25023.849609375,25006.0,17.849609375,5.69921875,3.75,8.400390625,UP
2024-08-01 11:00:00,25014.400390625,25041.19921875,25004.05078125,25033.69921875,25033.69921875,0,2024,8,11,1,Thursday,0,25041.19921875,25004.05078125,37.1484375,-19.298828125,26.798828125,29.6484375,DOWN
2024-08-01 11:15:00,25033.44921875,25033.849609375,25017.75,25022.099609375,25022.099609375,0,2024,8,11,1,Thursday,15,25033.849609375,25017.75,16.099609375,11.349609375,0.400390625,4.349609375,UP
2024-08-01 11:30:00,25023.099609375,25027.75,24998.55078125,24998.69921875,24998.69921875,0,2024,8,11,1,Thursday,30,25027.75,24998.55078125,29.19921875,24.400390625,4.650390625,0.1484375,UP
2024-08-01 11:45:00,24998.44921875,25006.900390625,24986.44921875,24999.849609375,24999.849609375,0,2024,8,11,1,Thursday,45,25006.900390625,24986.44921875,20.451171875,-1.400390625,8.451171875,13.400390625,DOWN
2024-08-01 12:00:00,24999.849609375,25005.099609375,24983.30078125,24989.94921875,24989.94921875,0,2024,8,12,1,Thursday,0,25005.099609375,24983.30078125,21.798828125,9.900390625,5.25,6.6484375,UP
2024-08-01 12:15:00,24990.55078125,25002.349609375,24971.75,24978.349609375,24978.349609375,0,2024,8,12,1,Thursday,15,25002.349609375,24971.75,30.599609375,12.201171875,11.798828125,6.599609375,UP
2024-08-01 12:30:00,24978.44921875,24987.349609375,24964.5,24983.099609375,24983.099609375,0,2024,8,12,1,Thursday,30,24987.349609375,24964.5,22.849609375,-4.650390625,8.900390625,18.599609375,DOWN
2024-08-01 12:45:00,24983.30078125,24997.400390625,24978.19921875,24983.25,24983.25,0,2024,8,12,1,Thursday,45,24997.400390625,24978.19921875,19.201171875,0.05078125,14.099609375,5.05078125,UP
2024-08-01 13:00:00,24983.19921875,25008.349609375,24983.0,24999.349609375,24999.349609375,0,2024,8,13,1,Thursday,0,25008.349609375,24983.0,25.349609375,-16.150390625,25.150390625,16.349609375,DOWN
2024-08-01 13:15:00,25000.099609375,25007.150390625,24978.650390625,24980.099609375,24980.099609375,0,2024,8,13,1,Thursday,15,25007.150390625,24978.650390625,28.5,20.0,7.05078125,1.44921875,UP
2024-08-01 13:30:00,24978.849609375,24992.400390625,24973.69921875,24974.0,24974.0,0,2024,8,13,1,Thursday,30,24992.400390625,24973.69921875,18.701171875,4.849609375,13.55078125,0.30078125,UP
2024-08-01 13:45:00,24974.150390625,24990.349609375,24972.150390625,24984.75,24984.75,0,2024,8,13,1,Thursday,45,24990.349609375,24972.150390625,18.19921875,-10.599609375,16.19921875,12.599609375,DOWN
2024-08-01 14:00:00,24985.099609375,24996.44921875,24979.5,24981.94921875,24981.94921875,0,2024,8,14,1,Thursday,0,24996.44921875,24979.5,16.94921875,3.150390625,11.349609375,2.44921875,UP
