datetime,open,high,low,close,adj close,volume,year,month,hour,day,day_name,minute,max,min,difference,candle_body,high_shadow,low_shadow,trend
2024-09-02 09:15:00+05:30,25311.599609375,25313.349609375,25293.05078125,25312.94921875,25312.94921875,0,2024,9,9,2,Monday,15,25313.349609375,25293.05078125,20.298828125,-1.349609375,1.75,19.8984375,DOWN
2024-09-02 09:20:00+05:30,25312.099609375,25323.599609375,25296.80078125,25320.19921875,25320.19921875,0,2024,9,9,2,Monday,20,25323.599609375,25296.80078125,26.798828125,-8.099609375,11.5,23.3984375,DOWN
2024-09-02 09:25:00+05:30,25317.69921875,25319.55078125,25307.900390625,25308.5,25308.5,0,2024,9,9,2,Monday,25,25319.55078125,25307.900390625,11.650390625,9.19921875,1.8515625,0.599609375,UP
2024-09-02 09:30:00+05:30,25305.25,25310.30078125,25283.55078125,25285.75,25285.75,0,2024,9,9,2,Monday,30,25310.30078125,25283.55078125,26.75,19.5,5.05078125,2.19921875,UP
2024-09-02 09:35:00+05:30,25287.099609375,25302.099609375,25282.25,25301.05078125,25301.05078125,0,2024,9,9,2,Monday,35,25302.099609375,25282.25,19.849609375,-13.951171875,15.0,18.80078125,DOWN
2024-09-02 09:40:00+05:30,25302.0,25320.05078125,25296.650390625,25310.44921875,25310.44921875,0,2024,9,9,2,Monday,40,25320.05078125,25296.650390625,23.400390625,-8.44921875,18.05078125,13.798828125,DOWN
2024-09-02 09:45:00+05:30,25308.849609375,25319.69921875,25308.05078125,25318.349609375,25318.349609375,0,2024,9,9,2,Monday,45,25319.69921875,25308.05078125,11.6484375,-9.5,10.849609375,10.298828125,DOWN
2024-09-02 09:50:00+05:30,25317.80078125,25321.599609375,25302.44921875,25303.099609375,25303.099609375,0,2024,9,9,2,Monday,50,25321.599609375,25302.44921875,19.150390625,14.701171875,3.798828125,0.650390625,UP
2024-09-02 09:55:00+05:30,25304.0,25307.150390625,25293.099609375,25297.0,25297.0,0,2024,9,9,2,Monday,55,25307.150390625,25293.099609375,14.05078125,7.0,3.150390625,3.900390625,UP
2024-09-02 10:00:00+05:30,25297.599609375,25304.44921875,25292.849609375,25293.900390625,25293.900390625,0,2024,9,10,2,Monday,0,25304.44921875,25292.849609375,11.599609375,3.69921875,6.849609375,1.05078125,UP
2024-09-02 10:05:00+05:30,25294.44921875,25301.25,25283.19921875,25299.400390625,25299.400390625,0,2024,9,10,2,Monday,5,25301.25,25283.19921875,18.05078125,-4.951171875,6.80078125,16.201171875,DOWN
2024-09-02 10:10:00+05:30,25298.25,25309.44921875,25292.25,25305.19921875,25305.19921875,0,2024,9,10,2,Monday,10,25309.44921875,25292.25,17.19921875,-6.94921875,11.19921875,12.94921875,DOWN
2024-09-02 10:15:00+05:30,25303.349609375,25307.25,25291.349609375,25293.849609375,25293.849609375,0,2024,9,10,2,Monday,15,25307.25,25291.349609375,15.900390625,9.5,3.900390625,2.5,UP
2024-09-02 10:20:00+05:30,25294.349609375,25299.94921875,25291.849609375,25296.55078125,25296.55078125,0,2024,9,10,2,Monday,20,25299.94921875,25291.849609375,8.099609375,-2.201171875,5.599609375,4.701171875,DOWN
2024-09-02 10:25:00+05:30,25296.69921875,25301.5,25293.25,25294.849609375,25294.849609375,0,2024,9,10,2,Monday,25,25301.5,25293.25,8.25,1.849609375,4.80078125,1.599609375,UP
2024-09-02 10:30:00+05:30,25295.150390625,25304.5,25292.349609375,25302.349609375,25302.349609375,0,2024,9,10,2,Monday,30,25304.5,25292.349609375,12.150390625,-7.19921875,9.349609375,10.0,DOWN
2024-09-02 10:35:00+05:30,25302.05078125,25310.55078125,25299.900390625,25309.5,25309.5,0,2024,9,10,2,Monday,35,25310.55078125,25299.900390625,10.650390625,-7.44921875,8.5,9.599609375,DOWN
2024-09-02 10:40:00+05:30,25308.25,25310.150390625,25305.150390625,25306.650390625,25306.650390625,0,2024,9,10,2,Monday,40,25310.150390625,25305.150390625,5.0,1.599609375,1.900390625,1.5,UP
2024-09-02 10:45:00+05:30,25307.0,25313.900390625,25304.349609375,25311.25,25311.25,0,2024,9,10,2,Monday,45,25313.900390625,25304.349609375,9.55078125,-4.25,6.900390625,6.900390625,DOWN
2024-09-02 10:50:00+05:30,25312.400390625,25315.599609375,25304.30078125,25312.0,25312.0,0,2024,9,10,2,Monday,50,25315.599609375,25304.30078125,11.298828125,0.400390625,3.19921875,7.69921875,UP
