open,high,low,close,adj close,volume,year,month,hour,day,day_name,max,min,difference,candle_body,high_shadow,low_shadow,trend
18131.69921875,18172.94921875,18087.55078125,18162.900390625,18162.900390625,0,2023,1,9,2,Monday,18172.94921875,18087.55078125,85.3984375,-31.201171875,41.25,75.349609375,DOWN
18159.400390625,18199.30078125,18155.400390625,18186.5,18186.5,0,2023,1,10,2,Monday,18199.30078125,18155.400390625,43.900390625,-27.099609375,39.900390625,31.099609375,DOWN
18186.099609375,18192.94921875,18170.5,18192.05078125,18192.05078125,0,2023,1,11,2,Monday,18192.94921875,18170.5,22.44921875,-5.951171875,6.849609375,21.55078125,DOWN
18190.650390625,18197.30078125,18153.900390625,18182.349609375,18182.349609375,0,2023,1,12,2,Monday,18197.30078125,18153.900390625,43.400390625,8.30078125,6.650390625,28.44921875,UP
18182.25,18193.44921875,18157.94921875,18170.099609375,18170.099609375,0,2023,1,13,2,Monday,18193.44921875,18157.94921875,35.5,12.150390625,11.19921875,12.150390625,UP
18169.94921875,18205.099609375,18123.19921875,18193.05078125,18193.05078125,0,2023,1,14,2,Monday,18205.099609375,18123.19921875,81.900390625,-23.1015625,35.150390625,69.8515625,DOWN
18192.099609375,18215.099609375,18192.099609375,18208.94921875,18208.94921875,0,2023,1,15,2,Monday,18215.099609375,18192.099609375,23.0,-16.849609375,23.0,16.849609375,DOWN
18163.19921875,18232.5,18149.94921875,18230.25,18230.25,0,2023,1,9,3,Tuesday,18232.5,18149.94921875,82.55078125,-67.05078125,69.30078125,80.30078125,DOWN
18230.099609375,18238.94921875,18215.94921875,18231.25,18231.25,0,2023,1,10,3,Tuesday,18238.94921875,18215.94921875,23.0,-1.150390625,8.849609375,15.30078125,DOWN
18231.099609375,18240.400390625,18195.80078125,18198.19921875,18198.19921875,0,2023,1,11,3,Tuesday,18240.400390625,18195.80078125,44.599609375,32.900390625,9.30078125,2.3984375,UP
18198.349609375,18198.94921875,18162.5,18184.55078125,18184.55078125,0,2023,1,12,3,Tuesday,18198.94921875,18162.5,36.44921875,13.798828125,0.599609375,22.05078125,UP
18185.25,18225.099609375,18183.599609375,18205.44921875,18205.44921875,0,2023,1,13,3,Tuesday,18225.099609375,18183.599609375,41.5,-20.19921875,39.849609375,21.849609375,DOWN
18205.80078125,18251.849609375,18205.80078125,18240.650390625,18240.650390625,0,2023,1,14,3,Tuesday,18251.849609375,18205.80078125,46.048828125,-34.849609375,46.048828125,34.849609375,DOWN
18239.94921875,18241.900390625,18229.400390625,18234.30078125,18234.30078125,0,2023,1,15,3,Tuesday,18241.900390625,18229.400390625,12.5,5.6484375,1.951171875,4.900390625,UP
18230.650390625,18241.19921875,18114.0,18129.599609375,18129.599609375,0,2023,1,9,4,Wednesday,18241.19921875,18114.0,127.19921875,101.05078125,10.548828125,15.599609375,UP
18129.650390625,18164.5,18088.599609375,18096.849609375,18096.849609375,0,2023,1,10,4,Wednesday,18164.5,18088.599609375,75.900390625,32.80078125,34.849609375,8.25,UP
18096.69921875,18112.150390625,18038.0,18040.25,18040.25,0,2023,1,11,4,Wednesday,18112.150390625,18038.0,74.150390625,56.44921875,15.451171875,2.25,UP
18038.400390625,18085.150390625,18038.400390625,18078.94921875,18078.94921875,0,2023,1,12,4,Wednesday,18085.150390625,18038.400390625,46.75,-40.548828125,46.75,40.548828125,DOWN
18078.599609375,18131.400390625,18066.55078125,18125.599609375,18125.599609375,0,2023,1,13,4,Wednesday,18131.400390625,18066.55078125,64.849609375,-47.0,52.80078125,59.048828125,DOWN
18126.19921875,18130.150390625,18022.599609375,18052.849609375,18052.849609375,0,2023,1,14,4,Wednesday,18130.150390625,18022.599609375,107.55078125,73.349609375,3.951171875,30.25,UP
18052.349609375,18054.44921875,18023.30078125,18036.849609375,18036.849609375,0,2023,1,15,4,Wednesday,18054.44921875,18023.30078125,31.1484375,15.5,2.099609375,13.548828125,UP
18101.94921875,18119.05078125,18013.900390625,18063.25,18063.25,0,2023,1,9,5,Thursday,18119.05078125,18013.900390625,105.150390625,38.69921875,17.1015625,49.349609375,UP
18065.0,18084.400390625,18023.25,18037.099609375,18037.099609375,0,2023,1,10,5,Thursday,18084.400390625,18023.25,61.150390625,27.900390625,19.400390625,13.849609375,UP
18037.30078125,18045.099609375,17970.05078125,17981.099609375,17981.099609375,0,2023,1,11,5,Thursday,18045.099609375,17970.05078125,75.048828125,56.201171875,7.798828125,11.048828125,UP
17982.900390625,17985.44921875,17931.599609375,17949.150390625,17949.150390625,0,2023,1,12,5,Thursday,17985.44921875,17931.599609375,53.849609375,33.75,2.548828125,17.55078125,UP
17950.80078125,17951.400390625,17892.599609375,17912.349609375,17912.349609375,0,2023,1,13,5,Thursday,17951.400390625,17892.599609375,58.80078125,38.451171875,0.599609375,19.75,UP
17912.30078125,17999.55078125,17911.25,17989.44921875,17989.44921875,0,2023,1,14,5,Thursday,17999.55078125,17911.25,88.30078125,-77.1484375,87.25,78.19921875,DOWN
17989.30078125,18007.900390625,17989.30078125,17999.80078125,17999.80078125,0,2023,1,15,5,Thursday,18007.900390625,17989.30078125,18.599609375,-10.5,18.599609375,10.5,DOWN
18008.05078125,18046.599609375,17953.900390625,17955.0,17955.0,0,2023,1,9,6,Friday,18046.599609375,17953.900390625,92.69921875,53.05078125,38.548828125,1.099609375,UP
17954.650390625,17968.94921875,17909.099609375,17913.69921875,17913.69921875,0,2023,1,10,6,Friday,17968.94921875,17909.099609375,59.849609375,40.951171875,14.298828125,4.599609375,UP
17914.099609375,17948.75,17904.150390625,17922.80078125,17922.80078125,0,2023,1,11,6,Friday,17948.75,17904.150390625,44.599609375,-8.701171875,34.650390625,18.650390625,DOWN
17923.150390625,17926.599609375,17824.80078125,17830.400390625,17830.400390625,0,2023,1,12,6,Friday,17926.599609375,17824.80078125,101.798828125,92.75,3.44921875,5.599609375,UP
17831.69921875,17853.19921875,17796.150390625,17820.849609375,17820.849609375,0,2023,1,13,6,Friday,17853.19921875,17796.150390625,57.048828125,10.849609375,21.5,24.69921875,UP
17820.599609375,17881.099609375,17797.55078125,17869.849609375,17869.849609375,0,2023,1,14,6,Friday,17881.099609375,17797.55078125,83.548828125,-49.25,60.5,72.298828125,DOWN
17869.44921875,17872.150390625,17847.25,17865.849609375,17865.849609375,0,2023,1,15,6,Friday,17872.150390625,17847.25,24.900390625,3.599609375,2.701171875,18.599609375,UP
17952.55078125,18077.150390625,17936.69921875,18059.650390625,18059.650390625,0,2023,1,9,9,Monday,18077.150390625,17936.69921875,140.451171875,-107.099609375,124.599609375,122.951171875,DOWN
18060.69921875,18108.5,18060.69921875,18105.19921875,18105.19921875,0,2023,1,10,9,Monday,18108.5,18060.69921875,47.80078125,-44.5,47.80078125,44.5,DOWN
18106.0,18139.80078125,18097.69921875,18130.19921875,18130.19921875,0,2023,1,11,9,Monday,18139.80078125,18097.69921875,42.1015625,-24.19921875,33.80078125,32.5,DOWN
18130.80078125,18141.0,18074.55078125,18075.349609375,18075.349609375,0,2023,1,12,9,Monday,18141.0,18074.55078125,66.44921875,55.451171875,10.19921875,0.798828125,UP
18074.900390625,18077.349609375,17997.400390625,18053.25,18053.25,0,2023,1,13,9,Monday,18077.349609375,17997.400390625,79.94921875,21.650390625,2.44921875,55.849609375,UP
18053.349609375,18107.30078125,18032.69921875,18106.44921875,18106.44921875,0,2023,1,14,9,Monday,18107.30078125,18032.69921875,74.6015625,-53.099609375,53.951171875,73.75,DOWN
18106.400390625,18115.69921875,18083.900390625,18088.75,18088.75,0,2023,1,15,9,Monday,18115.69921875,18083.900390625,31.798828125,17.650390625,9.298828125,4.849609375,UP
18121.30078125,18122.900390625,17966.19921875,17990.80078125,17990.80078125,0,2023,1,9,10,Tuesday,18122.900390625,17966.19921875,156.701171875,130.5,1.599609375,24.6015625,UP
