open,high,low,close,adj close,volume,year,month,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,trend
15703.7001953125,15793.9501953125,15511.0498046875,15752.0498046875,15752.0498046875,364100,2022,7,0,Friday,15793.9501953125,15511.0498046875,282.900390625,-48.349609375,90.25,241.0,DOWN
15710.5,15852.349609375,15661.7998046875,15835.349609375,15835.349609375,304300,2022,7,0,Monday,15852.349609375,15661.7998046875,190.5498046875,-124.849609375,141.849609375,173.5498046875,DOWN
15909.150390625,16025.75,15785.4501953125,15810.849609375,15810.849609375,254200,2022,7,0,Tuesday,16025.75,15785.4501953125,240.2998046875,98.30078125,116.599609375,25.3994140625,UP
15818.2001953125,16011.349609375,15800.900390625,15989.7998046875,15989.7998046875,288400,2022,7,0,Wednesday,16011.349609375,15800.900390625,210.44921875,-171.599609375,193.1494140625,188.8994140625,DOWN
16113.75,16150.5,16045.9501953125,16132.900390625,16132.900390625,264600,2022,7,0,Thursday,16150.5,16045.9501953125,104.5498046875,-19.150390625,36.75,86.9501953125,DOWN
16273.650390625,16275.5,16157.900390625,16220.599609375,16220.599609375,281100,2022,7,0,Friday,16275.5,16157.900390625,117.599609375,53.05078125,1.849609375,62.69921875,UP
16136.150390625,16248.5498046875,16115.5,16216.0,16216.0,255900,2022,7,0,Monday,16248.5498046875,16115.5,133.0498046875,-79.849609375,112.3994140625,100.5,DOWN
16126.2001953125,16158.75,16031.150390625,16058.2998046875,16058.2998046875,208600,2022,7,0,Tuesday,16158.75,16031.150390625,127.599609375,67.900390625,32.5498046875,27.1494140625,UP
16128.2001953125,16140.0,15950.150390625,15966.650390625,15966.650390625,233300,2022,7,0,Wednesday,16140.0,15950.150390625,189.849609375,161.5498046875,11.7998046875,16.5,UP
16018.849609375,16070.849609375,15858.2001953125,15938.650390625,15938.650390625,228600,2022,7,0,Thursday,16070.849609375,15858.2001953125,212.6494140625,80.19921875,52.0,80.4501953125,UP
16010.7998046875,16066.9501953125,15927.2998046875,16049.2001953125,16049.2001953125,205800,2022,7,0,Friday,16066.9501953125,15927.2998046875,139.650390625,-38.400390625,56.150390625,121.900390625,DOWN
16151.400390625,16287.9501953125,16142.2001953125,16278.5,16278.5,227700,2022,7,0,Monday,16287.9501953125,16142.2001953125,145.75,-127.099609375,136.5498046875,136.2998046875,DOWN
16187.0498046875,16359.5,16187.0498046875,16340.5498046875,16340.5498046875,222600,2022,7,0,Tuesday,16359.5,16187.0498046875,172.4501953125,-153.5,172.4501953125,153.5,DOWN
16562.80078125,16588.0,16490.94921875,16520.849609375,16520.849609375,284400,2022,7,0,Wednesday,16588.0,16490.94921875,97.05078125,41.951171875,25.19921875,29.900390625,UP
16523.55078125,16626.94921875,16483.900390625,16605.25,16605.25,243600,2022,7,0,Thursday,16626.94921875,16483.900390625,143.048828125,-81.69921875,103.3984375,121.349609375,DOWN
16661.25,16752.25,16610.900390625,16719.44921875,16719.44921875,190900,2022,7,0,Friday,16752.25,16610.900390625,141.349609375,-58.19921875,91.0,108.548828125,DOWN
16662.55078125,16706.05078125,16564.25,16631.0,16631.0,211400,2022,7,0,Monday,16706.05078125,16564.25,141.80078125,31.55078125,43.5,66.75,UP
16632.900390625,16636.099609375,16463.30078125,16483.849609375,16483.849609375,208200,2022,7,0,Tuesday,16636.099609375,16463.30078125,172.798828125,149.05078125,3.19921875,20.548828125,UP
16475.349609375,16653.44921875,16438.75,16641.80078125,16641.80078125,185200,2022,7,0,Wednesday,16653.44921875,16438.75,214.69921875,-166.451171875,178.099609375,203.05078125,DOWN
16774.849609375,16947.650390625,16746.25,16929.599609375,16929.599609375,376300,2022,7,0,Thursday,16947.650390625,16746.25,201.400390625,-154.75,172.80078125,183.349609375,DOWN
17079.5,17172.80078125,17018.150390625,17158.25,17158.25,436100,2022,7,0,Friday,17172.80078125,17018.150390625,154.650390625,-78.75,93.30078125,140.099609375,DOWN
17243.19921875,17356.25,17154.80078125,17340.05078125,17340.05078125,381500,2022,8,0,Monday,17356.25,17154.80078125,201.44921875,-96.8515625,113.05078125,185.25,DOWN
17310.150390625,17390.150390625,17215.849609375,17345.44921875,17345.44921875,333600,2022,8,0,Tuesday,17390.150390625,17215.849609375,174.30078125,-35.298828125,80.0,129.599609375,DOWN
17349.25,17407.5,17225.849609375,17388.150390625,17388.150390625,285400,2022,8,0,Wednesday,17407.5,17225.849609375,181.650390625,-38.900390625,58.25,162.30078125,DOWN
17463.099609375,17490.69921875,17161.25,17382.0,17382.0,325000,2022,8,0,Thursday,17490.69921875,17161.25,329.44921875,81.099609375,27.599609375,220.75,UP
17423.650390625,17474.400390625,17348.75,17397.5,17397.5,355300,2022,8,0,Friday,17474.400390625,17348.75,125.650390625,26.150390625,50.75,48.75,UP
17401.5,17548.80078125,17359.75,17525.099609375,17525.099609375,257000,2022,8,0,Monday,17548.80078125,17359.75,189.05078125,-123.599609375,147.30078125,165.349609375,DOWN
17566.099609375,17566.099609375,17442.80078125,17534.75,17534.75,312700,2022,8,0,Wednesday,17566.099609375,17442.80078125,123.298828125,31.349609375,0.0,91.94921875,UP
17711.650390625,17719.30078125,17631.94921875,17659.0,17659.0,311200,2022,8,0,Thursday,17719.30078125,17631.94921875,87.3515625,52.650390625,7.650390625,27.05078125,UP
17659.650390625,17724.650390625,17597.849609375,17698.150390625,17698.150390625,303900,2022,8,0,Friday,17724.650390625,17597.849609375,126.80078125,-38.5,65.0,100.30078125,DOWN
17797.19921875,17839.099609375,17764.05078125,17825.25,17825.25,0,2022,8,0,Tuesday,17839.099609375,17764.05078125,75.048828125,-28.05078125,41.900390625,61.19921875,DOWN
17868.150390625,17965.94921875,17833.349609375,17944.25,17944.25,262800,2022,8,0,Wednesday,17965.94921875,17833.349609375,132.599609375,-76.099609375,97.798828125,110.900390625,DOWN
