datetime,open,high,low,close,adj close,volume,year,month,hour,day,day_name,max,min,difference,candle_body,high_shadow,low_shadow,trend
2024-08-01 09:15:00+05:30,25030.94921875,25054.30078125,25012.5,25053.150390625,25053.150390625,0,2024,8,9,1,Thursday,25054.30078125,25012.5,41.80078125,-22.201171875,23.3515625,40.650390625,DOWN
2024-08-01 09:20:00+05:30,25054.05078125,25077.30078125,25049.400390625,25058.25,25058.25,0,2024,8,9,1,Thursday,25077.30078125,25049.400390625,27.900390625,-4.19921875,23.25,8.849609375,DOWN
2024-08-01 09:25:00+05:30,25058.75,25063.05078125,25050.80078125,25054.05078125,25054.05078125,0,2024,8,9,1,Thursday,25063.05078125,25050.80078125,12.25,4.69921875,4.30078125,3.25,UP
2024-08-01 09:30:00+05:30,25053.400390625,25064.0,25044.900390625,25063.900390625,25063.900390625,0,2024,8,9,1,Thursday,25064.0,25044.900390625,19.099609375,-10.5,10.599609375,19.0,DOWN
2024-08-01 09:35:00+05:30,25064.349609375,25064.349609375,25044.44921875,25048.05078125,25048.05078125,0,2024,8,9,1,Thursday,25064.349609375,25044.44921875,19.900390625,16.298828125,0.0,3.6015625,UP
2024-08-01 09:40:00+05:30,25049.0,25058.80078125,25044.150390625,25046.400390625,25046.400390625,0,2024,8,9,1,Thursday,25058.80078125,25044.150390625,14.650390625,2.599609375,9.80078125,2.25,UP
2024-08-01 09:45:00+05:30,25045.55078125,25059.0,25039.30078125,25044.75,25044.75,0,2024,8,9,1,Thursday,25059.0,25039.30078125,19.69921875,0.80078125,13.44921875,5.44921875,UP
2024-08-01 09:50:00+05:30,25044.349609375,25046.55078125,25026.19921875,25033.400390625,25033.400390625,0,2024,8,9,1,Thursday,25046.55078125,25026.19921875,20.3515625,10.94921875,2.201171875,7.201171875,UP
2024-08-01 09:55:00+05:30,25033.69921875,25054.0,25028.5,25052.849609375,25052.849609375,0,2024,8,9,1,Thursday,25054.0,25028.5,25.5,-19.150390625,20.30078125,24.349609375,DOWN
2024-08-01 10:00:00+05:30,25053.55078125,25056.599609375,25040.75,25043.55078125,25043.55078125,0,2024,8,10,1,Thursday,25056.599609375,25040.75,15.849609375,10.0,3.048828125,2.80078125,UP
2024-08-01 10:05:00+05:30,25043.349609375,25048.44921875,25034.69921875,25035.400390625,25035.400390625,0,2024,8,10,1,Thursday,25048.44921875,25034.69921875,13.75,7.94921875,5.099609375,0.701171875,UP
2024-08-01 10:10:00+05:30,25035.69921875,25048.94921875,25034.05078125,25037.099609375,25037.099609375,0,2024,8,10,1,Thursday,25048.94921875,25034.05078125,14.8984375,-1.400390625,13.25,3.048828125,DOWN
2024-08-01 10:15:00+05:30,25037.05078125,25049.25,25033.05078125,25049.0,25049.0,0,2024,8,10,1,Thursday,25049.25,25033.05078125,16.19921875,-11.94921875,12.19921875,15.94921875,DOWN
2024-08-01 10:20:00+05:30,25049.349609375,25052.150390625,25036.150390625,25039.150390625,25039.150390625,0,2024,8,10,1,Thursday,25052.150390625,25036.150390625,16.0,10.19921875,2.80078125,3.0,UP
2024-08-01 10:25:00+05:30,25039.5,25039.69921875,25021.30078125,25021.30078125,25021.30078125,0,2024,8,10,1,Thursday,25039.69921875,25021.30078125,18.3984375,18.19921875,0.19921875,0.0,UP
2024-08-01 10:30:00+05:30,25021.650390625,25027.400390625,25020.30078125,25020.650390625,25020.650390625,0,2024,8,10,1,Thursday,25027.400390625,25020.30078125,7.099609375,1.0,5.75,0.349609375,UP
2024-08-01 10:35:00+05:30,25020.650390625,25032.30078125,25011.900390625,25025.69921875,25025.69921875,0,2024,8,10,1,Thursday,25032.30078125,25011.900390625,20.400390625,-5.048828125,11.650390625,13.798828125,DOWN
2024-08-01 10:40:00+05:30,25025.400390625,25027.69921875,25019.849609375,25019.900390625,25019.900390625,0,2024,8,10,1,Thursday,25027.69921875,25019.849609375,7.849609375,5.5,2.298828125,0.05078125,UP
2024-08-01 10:45:00+05:30,25020.099609375,25023.849609375,25008.849609375,25012.75,25012.75,0,2024,8,10,1,Thursday,25023.849609375,25008.849609375,15.0,7.349609375,3.75,3.900390625,UP
2024-08-01 10:50:00+05:30,25012.25,25017.55078125,25006.0,25013.099609375,25013.099609375,0,2024,8,10,1,Thursday,25017.55078125,25006.0,11.55078125,-0.849609375,5.30078125,7.099609375,DOWN
2024-08-01 10:55:00+05:30,25012.94921875,25018.849609375,25011.5,25014.400390625,25014.400390625,0,2024,8,10,1,Thursday,25018.849609375,25011.5,7.349609375,-1.451171875,5.900390625,2.900390625,DOWN
2024-08-01 11:00:00+05:30,25014.400390625,25022.94921875,25004.05078125,25008.0,25008.0,0,2024,8,11,1,Thursday,25022.94921875,25004.05078125,18.8984375,6.400390625,8.548828125,3.94921875,UP
2024-08-01 11:05:00+05:30,25008.19921875,25022.19921875,25006.30078125,25020.900390625,25020.900390625,0,2024,8,11,1,Thursday,25022.19921875,25006.30078125,15.8984375,-12.701171875,14.0,14.599609375,DOWN
2024-08-01 11:10:00+05:30,25020.5,25041.19921875,25018.0,25033.69921875,25033.69921875,0,2024,8,11,1,Thursday,25041.19921875,25018.0,23.19921875,-13.19921875,20.69921875,15.69921875,DOWN
