year,month,PNL
2023,3,20250.0
2023,4,10833.75
2023,5,13503.75
2023,6,18318.75
2023,7,2265.0
2023,8,2325.0
2023,9,1728.75
2023,10,2493.75
2023,11,18933.75
2023,12,9000.0
2024,1,16691.25
2024,2,4398.75
2024,3,6000.0
2024,4,-4072.5
2024,5,-11883.75
2024,6,2625.0
2024,7,16627.5
2024,8,-3210.0
2024,9,8415.0
2024,10,5782.5
2024,11,16500.0
2024,12,-93.75
2025,1,5471.25
2025,2,-5883.75
