product_symbol,price,size,timestamp,buyer_role
C-ETH-3100-010524,2.60000000,5,2024-05-01 00:04:04.383931,taker
C-ETH-3080-010524,4.60000000,5,2024-05-01 00:04:17.715870,taker
P-ETH-2920-010524,2.20000000,5,2024-05-01 00:04:46.905448,taker
P-ETH-2940-010524,3.90000000,5,2024-05-01 00:04:46.907739,taker
P-ETH-2960-010524,6.60000000,5,2024-05-01 00:04:46.918003,taker
C-ETH-3060-010524,7.90000000,2,2024-05-01 00:13:15.907891,maker
C-ETH-3080-030524,36.00000000,200,2024-05-01 00:15:00.341000,maker
P-ETH-2960-010524,5.80000000,15,2024-05-01 00:19:32.832699,maker
P-ETH-3020-010524,30.40000000,1,2024-05-01 00:21:51.931447,taker
C-ETH-2980-010524,35.80000000,1,2024-05-01 00:29:13.912147,maker
C-ETH-3080-010524,3.00000000,40,2024-05-01 00:29:22.771907,maker
P-ETH-2960-010524,9.50000000,20,2024-05-01 00:34:23.583683,taker
C-ETH-3020-010524,16.70000000,1,2024-05-01 00:35:39.463334,taker
C-ETH-3020-010524,16.90000000,1,2024-05-01 00:35:51.883732,taker
P-ETH-2840-010524,0.01000000,1,2024-05-01 00:42:18.970707,maker
C-ETH-3060-010524,3.50000000,1,2024-05-01 00:42:19.111418,taker
P-ETH-2960-010524,6.90000000,20,2024-05-01 00:44:51.621418,maker
P-ETH-2840-010524,0.01000000,36,2024-05-01 00:44:59.466794,maker
C-ETH-3040-010524,10.00000000,12,2024-05-01 00:45:29.087411,taker
P-ETH-3020-010524,28.30000000,21,2024-05-01 00:48:22.279780,maker
P-ETH-3000-010524,22.80000000,11,2024-05-01 00:50:59.758428,maker
C-ETH-3000-010524,22.90000000,500,2024-05-01 00:54:45.160175,taker
P-ETH-3000-010524,24.10000000,500,2024-05-01 00:56:06.380033,maker
C-ETH-3100-010524,1.30000000,250,2024-05-01 00:56:19.908435,taker
P-ETH-2920-010524,3.30000000,500,2024-05-01 00:56:28.843151,taker
P-ETH-2980-010524,15.00000000,100,2024-05-01 00:57:38.673020,maker
P-ETH-2960-010524,8.80000000,2,2024-05-01 00:58:51.786840,maker
C-ETH-3100-010524,1.40000000,31,2024-05-01 01:03:16.632041,taker
C-ETH-3400-030524,3.10000000,1000,2024-05-01 01:03:18.296739,maker
C-ETH-4000-030524,0.30000000,2000,2024-05-01 01:07:02.099725,taker
C-ETH-3100-310524,187.40000000,100,2024-05-01 01:07:48.035137,maker
C-ETH-3040-010524,6.00000000,3,2024-05-01 01:07:50.935452,maker
C-ETH-4000-030524,0.10000000,800,2024-05-01 01:09:04.099394,maker
C-ETH-3020-010524,9.50000000,141,2024-05-01 01:09:10.327778,maker
P-ETH-3020-010524,42.00000000,24,2024-05-01 01:09:11.349100,taker
P-ETH-2980-010524,20.00000000,88,2024-05-01 01:09:39.926509,taker
P-ETH-2980-010524,20.00000000,25,2024-05-01 01:09:39.926734,taker
P-ETH-2940-020524,30.00000000,5,2024-05-01 01:09:41.374338,taker
C-ETH-3300-020524,1.00000000,100,2024-05-01 01:09:41.431113,maker
P-ETH-2900-010524,2.60000000,127,2024-05-01 01:10:40.194668,taker
P-ETH-2980-010524,18.00000000,1,2024-05-01 01:10:48.280316,maker
C-ETH-2980-010524,27.70000000,2,2024-05-01 01:11:03.446204,maker
C-ETH-4000-030524,0.01000000,200,2024-05-01 01:11:25.258264,maker
C-ETH-4100-030524,0.30000000,2000,2024-05-01 01:12:42.708432,taker
C-ETH-3120-010524,0.30000000,19,2024-05-01 01:13:13.899512,taker
C-ETH-3120-010524,0.70000000,81,2024-05-01 01:13:13.899570,taker
P-ETH-2920-020524,25.00000000,5,2024-05-01 01:14:00.531381,taker
P-ETH-2900-020524,20.00000000,5,2024-05-01 01:14:00.555906,taker
P-ETH-3020-010524,43.90000000,1,2024-05-01 01:14:15.234568,maker
P-ETH-2920-010524,5.10000000,50,2024-05-01 01:14:31.515119,taker
C-ETH-3100-020524,11.10000000,200,2024-05-01 01:14:32.098351,maker
C-ETH-3220-010524,0.01000000,1551,2024-05-01 01:16:48.381915,maker
P-ETH-2960-010524,11.80000000,2,2024-05-01 01:18:26.323854,maker
P-ETH-2980-010524,20.50000000,543,2024-05-01 01:18:46.358685,taker
C-ETH-2980-010524,25.50000000,12,2024-05-01 01:18:58.249762,maker
P-ETH-2940-010524,6.30000000,1,2024-05-01 01:20:31.950902,maker
C-ETH-3000-010524,26.40000000,10,2024-05-01 01:23:18.822371,taker
C-ETH-3000-010524,27.20000000,45,2024-05-01 01:30:07.570385,maker
P-ETH-3000-010524,19.70000000,1,2024-05-01 01:30:22.624602,taker
C-ETH-3100-010524,0.80000000,135,2024-05-01 01:31:06.377622,maker
C-ETH-3000-010524,29.40000000,25,2024-05-01 01:34:04.190359,taker
C-ETH-2980-010524,44.10000000,2,2024-05-01 01:34:12.529039,taker
C-ETH-3060-010524,5.80000000,606,2024-05-01 01:34:36.730432,taker
C-ETH-3060-010524,6.00000000,49,2024-05-01 01:34:51.435310,taker
C-ETH-2980-020524,63.30000000,2,2024-05-01 01:36:25.634214,maker
P-ETH-2840-010524,0.01000000,300,2024-05-01 01:36:42.439453,maker
C-ETH-3040-010524,10.50000000,33,2024-05-01 01:37:55.035949,taker
C-ETH-3400-030524,2.80000000,2000,2024-05-01 01:38:26.904053,maker
P-ETH-3020-010524,27.40000000,150,2024-05-01 01:41:12.286840,maker
P-ETH-3000-010524,18.10000000,1000,2024-05-01 01:42:29.162366,taker
P-ETH-2960-010524,4.70000000,11,2024-05-01 01:42:40.833395,maker
C-ETH-2940-010524,68.20000000,10,2024-05-01 01:44:05.719415,maker
C-ETH-3000-020524,51.90000000,18,2024-05-01 01:44:15.694441,taker
P-ETH-3040-010524,42.00000000,50,2024-05-01 01:44:57.145510,taker
P-ETH-3040-010524,45.90000000,1,2024-05-01 01:45:38.586316,taker
C-ETH-3040-010524,9.50000000,83,2024-05-01 01:47:03.388640,taker
P-ETH-2960-010524,6.50000000,119,2024-05-01 01:47:40.675729,maker
P-ETH-2940-010524,2.20000000,1,2024-05-01 01:47:46.634198,maker
C-ETH-3060-010524,4.30000000,655,2024-05-01 01:48:00.705955,maker
P-ETH-3020-010524,28.00000000,1000,2024-05-01 01:49:49.347250,maker
P-ETH-2880-010524,0.60000000,1,2024-05-01 01:49:59.200998,taker
P-ETH-2960-010524,6.80000000,5,2024-05-01 01:50:51.481909,taker
C-ETH-2900-010524,104.50000000,1,2024-05-01 01:51:37.989187,maker
C-ETH-3080-010524,2.60000000,22,2024-05-01 01:52:02.397688,taker
C-ETH-3000-010524,24.70000000,25,2024-05-01 01:56:08.237960,taker
C-ETH-3100-010524,1.30000000,750,2024-05-01 01:57:00.562752,taker
P-ETH-3000-010524,20.90000000,242,2024-05-01 01:57:09.922205,taker
P-ETH-3000-010524,20.10000000,1000,2024-05-01 01:57:50.766173,maker
P-ETH-3020-010524,30.00000000,1000,2024-05-01 01:59:04.088781,maker
C-ETH-3020-010524,13.20000000,98,2024-05-01 01:59:58.005267,maker
C-ETH-3040-020524,31.00000000,30,2024-05-01 02:00:51.285822,maker
P-ETH-2980-010524,13.40000000,98,2024-05-01 02:02:05.314326,maker
P-ETH-2880-010524,0.80000000,6,2024-05-01 02:03:08.082113,taker
C-ETH-3080-010524,0.90000000,22,2024-05-01 02:03:35.354025,maker
P-ETH-3040-010524,50.40000000,1,2024-05-01 02:05:02.194272,taker
P-ETH-3000-010524,23.30000000,20,2024-05-01 02:05:04.162243,taker
C-ETH-3100-010524,1.00000000,5,2024-05-01 02:05:16.177735,taker
C-ETH-3080-010524,1.30000000,207,2024-05-01 02:09:20.162015,taker
C-ETH-2940-010524,50.60000000,33,2024-05-01 02:09:33.585847,maker
P-ETH-3000-010524,28.60000000,242,2024-05-01 02:09:55.173947,maker
P-ETH-3040-010524,57.20000000,1,2024-05-01 02:10:18.406042,maker
C-ETH-3040-010524,3.70000000,1,2024-05-01 02:10:47.319709,maker
P-ETH-2880-020524,15.00000000,12,2024-05-01 02:11:17.821716,maker
P-ETH-2980-010524,20.00000000,20,2024-05-01 02:11:18.694751,maker
C-ETH-3040-010524,3.70000000,10,2024-05-01 02:11:31.205753,maker
C-ETH-3000-020524,38.00000000,18,2024-05-01 02:12:46.675860,maker
P-ETH-2980-010524,23.50000000,4,2024-05-01 02:13:05.350760,taker
P-ETH-2860-020524,15.00000000,5,2024-05-01 02:13:39.661353,taker
P-ETH-3000-010524,40.00000000,11,2024-05-01 02:13:41.452215,taker
P-ETH-2980-010524,29.80000000,98,2024-05-01 02:13:41.478769,taker
P-ETH-2880-020524,20.00000000,5,2024-05-01 02:13:44.826679,taker
P-ETH-2880-020524,20.90000000,7,2024-05-01 02:13:44.826723,taker
P-ETH-2800-020524,7.60000000,14,2024-05-01 02:14:15.570679,maker
P-ETH-3020-010524,60.90000000,3,2024-05-01 02:14:26.145807,taker
C-ETH-3120-010524,0.50000000,1000,2024-05-01 02:14:40.011336,taker
C-ETH-3020-010524,5.00000000,1,2024-05-01 02:15:02.098200,maker
P-ETH-3000-010524,39.40000000,20,2024-05-01 02:15:28.482283,taker
C-ETH-3000-010524,11.60000000,30,2024-05-01 02:15:45.054360,taker
P-ETH-2960-010524,17.80000000,144,2024-05-01 02:15:57.381099,maker
P-ETH-2960-010524,17.70000000,4,2024-05-01 02:16:06.322843,taker
C-ETH-3000-010524,12.30000000,100,2024-05-01 02:16:25.198428,taker
P-ETH-2960-010524,15.10000000,17,2024-05-01 02:16:28.146758,maker
C-ETH-3060-010524,1.90000000,3,2024-05-01 02:16:30.284953,taker
P-ETH-2980-010524,26.10000000,229,2024-05-01 02:16:47.214424,taker
P-ETH-3020-010524,52.90000000,2,2024-05-01 02:16:56.778672,taker
C-ETH-3020-030524,44.60000000,4,2024-05-01 02:17:19.230505,maker
P-ETH-2980-010524,21.30000000,543,2024-05-01 02:17:31.612104,maker
P-ETH-2940-010524,8.20000000,75,2024-05-01 02:18:51.144136,maker
P-ETH-3040-010524,58.60000000,1,2024-05-01 02:18:57.894784,maker
C-ETH-2980-010524,20.51000000,13,2024-05-01 02:22:17.950367,taker
C-ETH-2980-010524,20.40000000,7,2024-05-01 02:22:19.978325,maker
P-ETH-2860-010524,0.90000000,100,2024-05-01 02:23:23.131591,taker
C-ETH-3100-010524,0.70000000,100,2024-05-01 02:23:32.246785,taker
P-ETH-2900-010524,2.10000000,3,2024-05-01 02:24:45.550265,maker
C-ETH-3400-030524,2.50000000,1000,2024-05-01 02:24:45.556015,taker
C-ETH-2980-010524,26.00000000,418,2024-05-01 02:25:19.163377,maker
C-ETH-2980-010524,25.30000000,7,2024-05-01 02:25:24.122707,taker
C-ETH-3000-010524,16.10000000,150,2024-05-01 02:25:26.986112,taker
P-ETH-2960-010524,9.80000000,148,2024-05-01 02:26:34.418491,maker
P-ETH-2980-010524,19.10000000,113,2024-05-01 02:27:09.886667,taker
C-ETH-3000-010524,17.00000000,25,2024-05-01 02:28:36.629928,taker
C-ETH-2980-010524,27.60000000,13,2024-05-01 02:30:47.150413,taker
P-ETH-2940-010524,7.00000000,11,2024-05-01 02:31:45.485699,taker
P-ETH-2900-010524,3.70000000,10,2024-05-01 02:34:23.113720,taker
P-ETH-2960-010524,17.70000000,104,2024-05-01 02:35:25.618819,taker
P-ETH-3040-010524,69.80000000,2,2024-05-01 02:35:53.202290,taker
P-ETH-3040-010524,61.10000000,23,2024-05-01 02:37:42.798644,maker
P-ETH-2980-010524,21.60000000,10,2024-05-01 02:40:55.387355,taker
C-ETH-3040-010524,6.10000000,8,2024-05-01 02:41:35.490002,taker
C-ETH-3020-010524,11.00000000,66,2024-05-01 02:42:28.785246,maker
P-ETH-2800-020524,6.20000000,14,2024-05-01 02:43:29.298719,taker
C-ETH-3000-010524,19.10000000,5,2024-05-01 02:43:40.250651,taker
C-ETH-3060-010524,2.00000000,10,2024-05-01 02:44:57.026283,maker
C-ETH-3060-010524,3.20000000,1,2024-05-01 02:48:49.390724,taker
C-ETH-3040-020524,25.70000000,3,2024-05-01 02:49:38.142787,maker
C-ETH-3040-020524,25.90000000,100,2024-05-01 02:49:52.143989,maker
C-ETH-3080-020524,15.10000000,100,2024-05-01 02:50:26.239984,taker
C-ETH-3600-310524,55.50000000,600,2024-05-01 02:52:23.929188,taker
P-ETH-2500-310524,72.50000000,600,2024-05-01 02:52:35.341365,taker
C-ETH-2980-010524,25.80000000,100,2024-05-01 02:53:36.154172,maker
C-ETH-3000-010524,14.60000000,100,2024-05-01 02:53:42.699141,maker
C-ETH-3060-030524,32.10000000,5,2024-05-01 02:56:47.899547,maker
P-ETH-2850-030524,22.80000000,5,2024-05-01 02:57:59.691275,maker
C-ETH-3060-010524,3.30000000,30,2024-05-01 02:58:03.468621,taker
C-ETH-2980-010524,26.20000000,418,2024-05-01 02:58:21.976084,maker
C-ETH-3080-030524,26.00000000,5,2024-05-01 02:59:06.864478,taker
C-ETH-3140-020524,7.10000000,161,2024-05-01 02:59:38.783068,taker
P-ETH-2800-280624,200.00000000,1,2024-05-01 02:59:49.307259,taker
P-ETH-2800-280624,201.40000000,5,2024-05-01 02:59:49.307312,taker
C-ETH-3140-020524,7.10000000,8,2024-05-01 02:59:53.197946,maker
C-ETH-2980-010524,27.20000000,15,2024-05-01 03:00:19.907260,taker
P-ETH-2960-010524,11.00000000,96,2024-05-01 03:00:31.855211,maker
P-ETH-3040-010524,51.10000000,2,2024-05-01 03:02:14.276164,maker
P-ETH-2980-010524,15.70000000,4,2024-05-01 03:03:10.999670,maker
C-ETH-2980-010524,28.00000000,7,2024-05-01 03:04:40.859398,taker
C-ETH-2980-010524,28.00000000,1904,2024-05-01 03:04:43.546087,taker
C-ETH-2980-010524,28.20000000,54,2024-05-01 03:04:53.103280,taker
C-ETH-2980-010524,26.40000000,3,2024-05-01 03:07:41.359510,maker
C-ETH-3000-010524,16.30000000,30,2024-05-01 03:07:59.856584,maker
C-ETH-4400-310524,15.90000000,500,2024-05-01 03:09:57.180604,taker
C-ETH-3020-010524,10.40000000,100,2024-05-01 03:10:19.979357,taker
C-ETH-3000-010524,17.20000000,100,2024-05-01 03:12:23.247995,maker
P-ETH-2960-010524,10.60000000,40,2024-05-01 03:12:41.702083,taker
C-ETH-2980-010524,28.20000000,15,2024-05-01 03:13:21.733206,maker
P-ETH-2980-010524,16.20000000,100,2024-05-01 03:18:14.793196,maker
C-ETH-3020-010524,11.50000000,98,2024-05-01 03:18:18.268773,taker
C-ETH-3400-030524,2.30000000,2000,2024-05-01 03:19:41.270808,maker
C-ETH-3000-010524,18.00000000,1,2024-05-01 03:21:03.744873,taker
C-ETH-3000-010524,19.40000000,6,2024-05-01 03:21:16.337649,taker
P-ETH-2940-010524,5.20000000,12,2024-05-01 03:21:40.567709,taker
C-ETH-3000-010524,19.50000000,19,2024-05-01 03:23:45.602409,taker
C-ETH-3000-020524,44.80000000,5,2024-05-01 03:23:58.759851,maker
P-ETH-3000-010524,22.40000000,1,2024-05-01 03:24:26.652996,maker
P-ETH-2980-020524,38.90000000,5,2024-05-01 03:26:45.304595,maker
P-ETH-2960-010524,8.60000000,23,2024-05-01 03:27:00.612700,taker
P-ETH-3020-010524,34.60000000,133,2024-05-01 03:28:32.048317,maker
P-ETH-3000-010524,22.50000000,10,2024-05-01 03:31:33.092180,maker
P-ETH-3040-010524,50.50000000,1,2024-05-01 03:33:26.452320,taker
C-ETH-3000-010524,18.40000000,6,2024-05-01 03:34:56.757892,taker
P-ETH-2880-010524,0.70000000,2360,2024-05-01 03:35:05.772954,taker
P-ETH-3020-010524,33.80000000,2,2024-05-01 03:36:20.646250,maker
C-ETH-3000-010524,16.30000000,2,2024-05-01 03:36:20.656233,maker
P-ETH-3000-010524,23.40000000,2,2024-05-01 03:36:20.658842,taker
C-ETH-3100-010524,0.70000000,6,2024-05-01 03:36:20.661833,taker
C-ETH-3400-030524,2.30000000,1000,2024-05-01 03:37:05.850683,maker
P-ETH-2900-010524,1.00000000,2356,2024-05-01 03:37:59.866244,maker
C-ETH-4000-030524,0.30000000,1000,2024-05-01 03:38:01.585975,taker
C-ETH-2980-010524,31.30000000,1,2024-05-01 03:39:23.608271,taker
C-ETH-3000-010524,20.00000000,100,2024-05-01 03:40:12.780103,maker
C-ETH-3060-010524,2.80000000,1,2024-05-01 03:40:44.405570,taker
P-ETH-3000-010524,18.10000000,1,2024-05-01 03:41:34.189293,maker
C-ETH-2840-010524,158.50000000,200,2024-05-01 03:41:53.544889,maker
P-ETH-2940-010524,2.94000000,76,2024-05-01 03:42:17.401470,maker
P-ETH-2980-010524,8.30000000,100,2024-05-01 03:42:42.644740,maker
P-ETH-2900-010524,1.00000000,2,2024-05-01 03:42:45.365563,maker
P-ETH-2900-010524,1.00000000,2349,2024-05-01 03:45:27.814923,maker
P-ETH-2900-010524,1.00000000,2349,2024-05-01 03:45:28.001113,maker
P-ETH-3000-010524,21.30000000,1,2024-05-01 03:45:53.957106,taker
C-ETH-3060-010524,1.60000000,1,2024-05-01 03:45:57.289027,maker
P-ETH-2900-010524,1.40000000,100,2024-05-01 03:50:36.924563,taker
P-ETH-2980-010524,8.60000000,100,2024-05-01 03:52:16.076935,maker
C-ETH-2840-010524,166.90000000,200,2024-05-01 03:52:31.360593,taker
P-ETH-2960-010524,5.00000000,100,2024-05-01 03:52:35.025999,maker
P-ETH-2960-010524,5.00000000,50,2024-05-01 03:52:35.026112,maker
C-ETH-3400-030524,2.30000000,1308.000000000000000000,2024-05-01 03:52:49.378842,maker
C-ETH-3400-030524,2.30000000,692.000000000000000000,2024-05-01 03:52:49.438988,taker
C-ETH-3040-010524,6.30000000,10,2024-05-01 03:53:18.129413,taker
C-ETH-3000-010524,20.00000000,356,2024-05-01 03:53:30.309384,taker
P-ETH-2880-020524,10.80000000,4,2024-05-01 03:53:57.228923,taker
P-ETH-3020-010524,25.30000000,6,2024-05-01 03:54:04.270775,maker
P-ETH-2880-020524,11.00000000,4,2024-05-01 03:54:15.965165,taker
C-ETH-3000-010524,22.00000000,20,2024-05-01 03:54:27.013554,taker
C-ETH-3020-010524,12.50000000,6,2024-05-01 03:54:46.280258,taker
P-ETH-2960-010524,5.40000000,96,2024-05-01 03:55:01.031775,taker
C-ETH-3100-280624,256.00000000,5,2024-05-01 03:57:09.964805,taker
C-ETH-3000-010524,22.90000000,179,2024-05-01 03:57:37.172783,taker
P-ETH-3040-010524,40.40000000,23,2024-05-01 03:57:39.893400,taker
C-ETH-3000-010524,22.10000000,159,2024-05-01 03:57:45.767885,maker
P-ETH-2880-010524,0.50000000,2345,2024-05-01 03:58:25.833111,taker
P-ETH-2880-010524,0.50000000,2345,2024-05-01 03:58:26.029485,maker
P-ETH-2880-010524,0.50000000,2345,2024-05-01 03:58:26.414814,maker
P-ETH-2880-010524,0.50000000,2345,2024-05-01 03:58:26.634457,maker
P-ETH-2880-010524,0.50000000,620,2024-05-01 03:58:26.995483,maker
