product_symbol,price,size,timestamp,buyer_role
C-ETH-3640-010424,28.10000000,50,2024-04-01 00:01:57.428638,maker
C-ETH-3720-010424,4.80000000,600,2024-04-01 00:03:43.135901,taker
P-ETH-3600-010424,10.30000000,800,2024-04-01 00:04:47.268893,maker
P-ETH-3600-020424,40.00000000,1,2024-04-01 00:14:59.797188,taker
P-ETH-3600-020424,45.00000000,1,2024-04-01 00:41:31.565241,taker
C-ETH-3500-010424,120.00000000,1,2024-04-01 00:42:23.257065,maker
P-ETH-3620-010424,22.40000000,200,2024-04-01 00:52:43.676230,maker
C-ETH-3680-020424,36.00000000,400,2024-04-01 00:55:08.181852,maker
C-ETH-3540-010424,85.10000000,8,2024-04-01 01:00:56.958177,maker
C-ETH-3840-020424,8.40000000,25,2024-04-01 01:04:17.564993,taker
C-ETH-3440-020424,196.00000000,200,2024-04-01 01:07:53.605508,maker
C-ETH-3440-020424,194.00000000,200,2024-04-01 01:12:51.420992,maker
C-ETH-3440-020424,190.00000000,200,2024-04-01 01:20:12.106229,maker
C-ETH-3440-020424,190.00000000,200,2024-04-01 01:20:12.106280,maker
C-ETH-3700-010424,3.50000000,1,2024-04-01 01:24:43.586547,taker
C-ETH-3620-010424,22.10000000,20,2024-04-01 01:28:16.426350,maker
C-ETH-3500-010424,117.00000000,1,2024-04-01 01:29:20.242295,maker
C-ETH-3440-020424,186.00000000,200,2024-04-01 01:29:21.486407,maker
C-ETH-3440-020424,184.00000000,200,2024-04-01 01:39:53.020121,maker
P-ETH-3600-010424,17.00000000,5,2024-04-01 01:41:32.754300,maker
C-ETH-3720-010424,1.30000000,600,2024-04-01 01:41:44.353969,taker
C-ETH-3600-010424,30.20000000,50,2024-04-01 01:43:22.512367,taker
C-ETH-3660-010424,6.00000000,300,2024-04-01 01:45:06.143289,maker
C-ETH-3660-010424,6.10000000,300,2024-04-01 01:45:36.897860,maker
C-ETH-3440-020424,184.00000000,200,2024-04-01 01:51:32.199206,maker
C-ETH-3500-010424,112.00000000,1,2024-04-01 01:51:46.345947,maker
C-ETH-3700-010424,2.00000000,1,2024-04-01 01:51:53.790134,maker
C-ETH-3440-020424,182.00000000,200,2024-04-01 01:51:56.226210,maker
P-ETH-3520-020424,20.00000000,50,2024-04-01 01:51:56.556148,taker
P-ETH-3600-010424,18.00000000,1,2024-04-01 01:51:56.812366,taker
C-ETH-3680-020424,30.00000000,400,2024-04-01 01:52:03.077255,maker
C-ETH-3760-020424,13.00000000,862,2024-04-01 01:55:22.962985,taker
C-ETH-3700-010424,1.00000000,10,2024-04-01 01:56:04.265949,maker
P-ETH-3600-010424,17.10000000,5,2024-04-01 01:56:06.912451,maker
C-ETH-3660-010424,6.80000000,152,2024-04-01 01:57:13.376658,taker
P-ETH-3620-010424,26.20000000,1,2024-04-01 01:57:19.736282,maker
P-ETH-3540-010424,2.20000000,10,2024-04-01 01:57:33.314171,maker
C-ETH-3660-010424,6.90000000,229,2024-04-01 01:59:13.016303,taker
P-ETH-3620-010424,26.50000000,1,2024-04-01 02:01:23.082297,taker
C-ETH-3760-010424,0.60000000,50,2024-04-01 02:05:08.327831,taker
C-ETH-3660-010424,5.00000000,152,2024-04-01 02:09:40.979516,maker
P-ETH-3580-020424,40.60000000,138,2024-04-01 02:12:00.607912,taker
P-ETH-3580-020424,40.70000000,83,2024-04-01 02:13:34.590929,taker
C-ETH-3660-010424,5.10000000,600,2024-04-01 02:14:00.990749,taker
P-ETH-3580-020424,40.40000000,24,2024-04-01 02:14:09.843884,taker
P-ETH-3600-010424,17.70000000,10,2024-04-01 02:16:43.695656,taker
P-ETH-3520-010424,1.90000000,7,2024-04-01 02:16:49.584324,taker
