product_symbol,price,size,timestamp,buyer_role
P-ETH-3260-030324,7.80000000,1,2024-03-01 10:58:20.114466,maker
P-ETH-2100-260424,11.80000000,50,2024-03-07 07:21:27.280940,maker
C-ETH-6500-260424,30.10000000,50,2024-03-07 07:22:11.460317,maker
C-ETH-5100-290324,33.20000000,3,2024-03-07 07:47:59.067820,maker
C-ETH-4160-070324,0.01000000,1439,2024-03-07 08:53:09.539697,maker
P-ETH-3160-070324,0.01000000,1439,2024-03-07 08:53:09.540237,maker
P-ETH-2500-260424,22.30000000,50,2024-03-08 01:34:40.016107,taker
C-ETH-4250-080324,0.01000000,1348,2024-03-08 11:27:14.682904,maker
P-ETH-2300-080324,0.01000000,1347,2024-03-08 11:27:14.682926,maker
P-ETH-3360-090324,0.01000000,1368,2024-03-09 10:23:39.409657,maker
C-ETH-4340-090324,0.01000000,1368,2024-03-09 10:23:39.409893,maker
C-ETH-4800-290324,55.00000000,50,2024-03-10 06:27:43.009241,maker
C-ETH-4200-290324,173.40000000,50,2024-03-10 06:27:43.010741,maker
P-ETH-3950-290324,258.60000000,50,2024-03-10 06:27:43.010949,taker
P-ETH-2300-290324,3.80000000,1000,2024-03-10 06:32:49.475474,maker
C-ETH-5100-290324,32.60000000,10,2024-03-10 06:33:12.997278,maker
P-ETH-3500-100324,0.01000000,648,2024-03-10 10:00:35.919693,maker
C-ETH-4280-100324,0.01000000,648,2024-03-10 10:00:35.919917,maker
P-ETH-3700-110324,0.01000000,615,2024-03-11 10:42:10.513093,maker
C-ETH-4400-110324,0.01000000,615,2024-03-11 10:42:10.513094,maker
P-ETH-3600-120324,0.01000000,660,2024-03-12 11:22:22.079495,maker
C-ETH-4240-120324,0.01000000,660,2024-03-12 11:22:22.079612,maker
P-ETH-3740-130324,5.10000000,100,2024-03-12 16:37:12.029404,maker
P-ETH-3740-130324,3.40000000,100,2024-03-12 18:34:27.577872,maker
P-ETH-3560-130324,0.01000000,700,2024-03-13 11:17:56.403400,maker
C-ETH-4360-130324,0.01000000,699,2024-03-13 11:17:56.403669,maker
C-ETH-4000-140324,7.90000000,1,2024-03-14 08:25:33.257262,maker
C-ETH-4000-140324,11.80000000,1,2024-03-14 09:29:48.054167,taker
C-ETH-4000-140324,6.90000000,2,2024-03-14 10:05:02.820748,taker
C-ETH-4100-150324,3.20000000,150,2024-03-14 14:47:34.705195,taker
P-ETH-3860-150324,188.10000000,25,2024-03-15 03:27:40.441916,taker
P-ETH-3850-150324,185.70000000,25,2024-03-15 03:27:59.491317,taker
P-ETH-3860-150324,242.71000000,25,2024-03-15 09:09:50.919942,taker
P-ETH-3850-150324,234.26000000,25,2024-03-15 09:10:09.502359,taker
P-ETH-2450-150324,0.01000000,769,2024-03-15 10:08:44.669617,maker
C-ETH-4850-150324,0.01000000,769,2024-03-15 10:08:44.670049,maker
C-ETH-4000-160324,1.60000000,1,2024-03-15 19:13:28.439574,taker
C-ETH-4000-160324,1.70000000,1,2024-03-15 19:13:36.413948,taker
C-ETH-3840-170324,6.10000000,100,2024-03-15 20:02:37.946609,taker
C-ETH-3660-170324,79.40000000,100,2024-03-16 04:41:39.463358,maker
C-ETH-3840-170324,4.00000000,100,2024-03-16 05:13:19.214984,taker
C-ETH-3660-170324,65.00000000,100,2024-03-16 05:26:51.007584,maker
C-ETH-3660-170324,78.00000000,200,2024-03-16 06:27:40.945019,taker
C-ETH-4000-160324,0.01000000,2,2024-03-16 07:45:09.957426,maker
C-ETH-4320-160324,0.01000000,900,2024-03-16 09:01:11.024877,maker
P-ETH-3400-160324,0.01000000,900,2024-03-16 09:01:11.025626,maker
P-ETH-3600-170324,6.50000000,50,2024-03-16 12:34:26.120043,taker
P-ETH-3600-170324,8.80000000,50,2024-03-16 13:01:16.102004,maker
P-ETH-3560-170324,3.40000000,100,2024-03-16 13:05:25.623099,taker
P-ETH-3560-170324,5.80000000,100,2024-03-16 14:05:24.974033,maker
P-ETH-3520-170324,2.50000000,200,2024-03-16 14:10:11.013506,maker
P-ETH-3760-170324,98.80000000,2,2024-03-16 14:15:16.075244,maker
P-ETH-3760-170324,104.10000000,2,2024-03-16 14:17:42.889037,taker
P-ETH-3660-170324,29.10000000,2,2024-03-16 14:19:21.111250,taker
P-ETH-3660-170324,32.30000000,2,2024-03-16 14:36:42.139786,maker
P-ETH-3700-170324,62.50000000,20,2024-03-16 14:54:47.583828,maker
